Input File: 0308-15.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -1.297019e-04   1.501553e-07   1.297020e-04   1.799337e+02 
  2.000000e+00  -8.481954e-05  -3.998633e-06   8.491374e-05  -1.773009e+02 
  4.000000e+00  -1.823870e-05  -7.124609e-06   1.958087e-05  -1.586628e+02 
  6.000000e+00   3.872703e-06  -6.841391e-06   7.861454e-06  -6.048712e+01 
  8.000000e+00   3.701150e-06  -4.922717e-06   6.158868e-06  -5.306229e+01 
  1.000000e+01   1.450066e-06  -1.849928e-06   2.350516e-06  -5.190889e+01 
  1.200000e+01  -3.961446e-07   4.540582e-06   4.557830e-06   9.498616e+01 
  1.400000e+01   2.010754e-06   1.027402e-05   1.046893e-05   7.892646e+01 
  1.600000e+01   5.434296e-06   8.931432e-06   1.045476e-05   5.868173e+01 
  1.800000e+01   3.471875e-06   3.986187e-06   5.286171e-06   4.894489e+01 
  2.000000e+01  -5.792755e-07   2.179213e-06   2.254890e-06   1.048860e+02 
  2.200000e+01  -9.283575e-07   1.100109e-06   1.439474e-06   1.301603e+02 
  2.400000e+01   1.704827e-07  -2.259152e-06   2.265575e-06  -8.568445e+01 
  2.600000e+01  -2.872540e-07  -3.153584e-06   3.166640e-06  -9.520460e+01 
  2.800000e+01  -7.462396e-07  -8.833890e-07   1.156395e-06  -1.301893e+02 
  3.000000e+01  -1.423592e-07  -5.061731e-08   1.510902e-07  -1.604266e+02 
  3.200000e+01   4.566457e-08  -5.251891e-07   5.271706e-07  -8.503069e+01 
  3.400000e+01   1.103169e-07   1.810296e-07   2.119942e-07   5.864246e+01 
  3.600000e+01   1.453573e-06   1.257595e-06   1.922087e-06   4.086554e+01 
  3.800000e+01   2.219537e-06   5.906584e-07   2.296785e-06   1.490206e+01 
  4.000000e+01   1.390705e-06  -3.906274e-07   1.444524e-06  -1.568923e+01 
  4.200000e+01   8.154609e-07   4.465761e-09   8.154731e-07   3.137694e-01 
  4.400000e+01   1.099921e-07   7.817084e-07   7.894088e-07   8.199064e+01 
  4.600000e+01  -7.432154e-07   2.633546e-06   2.736409e-06   1.057596e+02 
  4.800000e+01   2.844501e-07   4.507971e-06   4.516936e-06   8.638946e+01 
  5.000000e+01   2.244686e-06   2.989952e-06   3.738774e-06   5.310286e+01 
  5.200000e+01   3.173760e-06   6.168695e-07   3.233153e-06   1.099918e+01 
  5.400000e+01   4.104457e-06   2.374985e-07   4.111323e-06   3.311646e+00 
  5.600000e+01   6.455895e-06  -5.473620e-06   8.463989e-06  -4.029289e+01 
  5.800000e+01   9.892043e-06  -2.142866e-05   2.360170e-05  -6.522069e+01 
  6.000000e+01   1.124541e-05  -3.012709e-05   3.215744e-05  -6.953112e+01 
  6.200000e+01   8.354104e-06  -1.873883e-05   2.051669e-05  -6.597183e+01 
  6.400000e+01   4.481712e-06  -4.954075e-06   6.680464e-06  -4.786588e+01 
  6.600000e+01   1.850308e-06  -2.342684e-08   1.850457e-06  -7.253857e-01 
  6.800000e+01   5.527903e-07   1.646052e-06   1.736394e-06   7.143651e+01 
