Input File: 0308-13.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -5.707887e-05   6.607990e-08   5.707890e-05   1.799337e+02 
  2.000000e+00  -4.211453e-05  -1.455892e-06   4.213969e-05  -1.780201e+02 
  4.000000e+00  -2.243514e-05   1.068577e-06   2.246057e-05   1.772731e+02 
  6.000000e+00  -1.524066e-05   2.878901e-06   1.551019e-05   1.693031e+02 
  8.000000e+00  -1.000922e-05  -2.117526e-06   1.023075e-05  -1.680548e+02 
  1.000000e+01  -6.086598e-06  -7.372514e-06   9.560368e-06  -1.295424e+02 
  1.200000e+01  -2.216920e-06  -7.297167e-06   7.626491e-06  -1.068991e+02 
  1.400000e+01   2.535926e-06  -6.382583e-06   6.867917e-06  -6.833109e+01 
  1.600000e+01   3.229990e-06  -5.434392e-06   6.321823e-06  -5.927441e+01 
  1.800000e+01   9.995105e-07  -2.487570e-06   2.680863e-06  -6.810964e+01 
  2.000000e+01   7.212759e-07  -8.590546e-07   1.121701e-06  -4.998265e+01 
  2.200000e+01   1.117711e-06  -6.229524e-07   1.279588e-06  -2.913297e+01 
  2.400000e+01   5.103316e-07   2.006694e-06   2.070569e-06   7.573132e+01 
  2.600000e+01   8.373219e-07   5.325134e-06   5.390562e-06   8.106400e+01 
  2.800000e+01   1.845158e-06   6.122623e-06   6.394616e-06   7.322890e+01 
  3.000000e+01   4.703411e-07   5.701586e-06   5.720954e-06   8.528417e+01 
  3.200000e+01  -1.779666e-06   5.352604e-06   5.640707e-06   1.083912e+02 
  3.400000e+01  -1.749420e-06   4.084122e-06   4.443031e-06   1.131877e+02 
  3.600000e+01  -1.147183e-06   2.521648e-06   2.770331e-06   1.144624e+02 
  3.800000e+01  -1.135267e-06   1.880666e-06   2.196756e-06   1.211173e+02 
  4.000000e+01  -8.337116e-07   1.314581e-06   1.556662e-06   1.223830e+02 
  4.200000e+01   1.830559e-07   3.386725e-08   1.861625e-07   1.048179e+01 
  4.400000e+01   2.643040e-06  -1.161474e-06   2.886985e-06  -2.372291e+01 
  4.600000e+01   5.370219e-06  -1.005434e-06   5.463529e-06  -1.060437e+01 
  4.800000e+01   5.627651e-06   5.722357e-07   5.656669e-06   5.806044e+00 
  5.000000e+01   3.716182e-06   2.602663e-06   4.536945e-06   3.500583e+01 
  5.200000e+01   1.792195e-06   4.064507e-06   4.442092e-06   6.620550e+01 
  5.400000e+01  -5.492761e-07   3.186134e-06   3.233134e-06   9.978140e+01 
  5.600000e+01  -6.406732e-06  -3.306615e-06   7.209710e-06  -1.527010e+02 
  5.800000e+01  -1.719486e-05  -1.696640e-05   2.415619e-05  -1.353832e+02 
  6.000000e+01  -2.295607e-05  -2.599794e-05   3.468247e-05  -1.314444e+02 
  6.200000e+01  -1.487354e-05  -1.866607e-05   2.386722e-05  -1.285486e+02 
  6.400000e+01  -3.815422e-06  -6.430042e-06   7.476823e-06  -1.206838e+02 
  6.600000e+01  -2.513941e-07  -1.081164e-06   1.110007e-06  -1.030899e+02 
  6.800000e+01  -1.264782e-06   3.335781e-08   1.265222e-06   1.784892e+02 
  7.000000e+01  -2.418695e-06  -4.724319e-07   2.464402e-06  -1.689478e+02 
  7.200000e+01  -2.602147e-06  -1.674138e-06   3.094173e-06  -1.472441e+02 
  7.400000e+01  -2.419488e-06  -2.049703e-06   3.170994e-06  -1.397299e+02 
  7.600000e+01  -1.377731e-06  -1.579606e-06   2.096019e-06  -1.310949e+02 
  7.800000e+01   1.026916e-06  -1.135210e-06   1.530771e-06  -4.786736e+01 
  8.000000e+01   2.528591e-06  -6.575258e-07   2.612683e-06  -1.457617e+01 
  8.200000e+01   1.535625e-06   1.164124e-07   1.540031e-06   4.335175e+00 
  8.400000e+01   7.698132e-08   2.541965e-07   2.655974e-07   7.315149e+01 
  8.600000e+01  -3.495350e-07  -9.327825e-07   9.961215e-07  -1.105421e+02 
  8.800000e+01  -8.307748e-07  -1.794729e-06   1.977685e-06  -1.148393e+02 
  9.000000e+01  -1.249812e-06  -1.254171e-06   1.770586e-06  -1.349003e+02 
  9.200000e+01  -4.921512e-07  -6.382149e-07   8.059349e-07  -1.276371e+02 
  9.400000e+01   6.022318e-07  -4.430977e-07   7.476756e-07  -3.634412e+01 
  9.600000e+01   9.896461e-07   3.442074e-07   1.047797e-06   1.917811e+01 
  9.800000e+01   5.115734e-07   1.423932e-06   1.513039e-06   7.023824e+01 
  1.000000e+02  -4.058058e-07   1.761367e-06   1.807510e-06   1.029741e+02 
  1.020000e+02  -6.123784e-07   1.900988e-06   1.997189e-06   1.078557e+02 
  1.040000e+02   3.297690e-07   1.905035e-06   1.933366e-06   8.017919e+01 
  1.060000e+02   1.025174e-06   1.176297e-06   1.560339e-06   4.892698e+01 
  1.080000e+02   3.694073e-07   6.134742e-07   7.161092e-07   5.894548e+01 
  1.100000e+02  -4.777427e-07   8.434173e-07   9.693249e-07   1.195288e+02 
  1.120000e+02  -4.630768e-07   1.051079e-06   1.148568e-06   1.137770e+02 
  1.140000e+02  -3.284999e-07   1.427183e-06   1.464501e-06   1.029622e+02 
  1.160000e+02  -2.489502e-07   2.189789e-06   2.203895e-06   9.648592e+01 
  1.180000e+02   1.911984e-07   1.878120e-06   1.887827e-06   8.418713e+01 
  1.200000e+02  -1.103612e-07   1.839480e-07   2.145145e-07   1.209620e+02 
  1.220000e+02  -1.140942e-06  -8.507765e-07   1.423225e-06  -1.432889e+02 
  1.240000e+02  -1.520062e-06  -6.354285e-07   1.647531e-06  -1.573137e+02 
  1.260000e+02  -1.509239e-06  -6.715204e-07   1.651891e-06  -1.560138e+02 
  1.280000e+02  -1.743164e-06  -6.569294e-07   1.862841e-06  -1.593506e+02 
  1.300000e+02  -1.056252e-06  -2.892633e-07   1.095145e-06  -1.646846e+02 
