Input File: 0308-08.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -6.834830e-05   7.912647e-08   6.834834e-05   1.799337e+02 
  2.000000e+00  -4.693116e-05  -2.349651e-06   4.698994e-05  -1.771338e+02 
  4.000000e+00  -1.767858e-05  -2.826411e-06   1.790310e-05  -1.709165e+02 
  6.000000e+00  -8.259930e-06   1.127703e-06   8.336556e-06   1.722256e+02 
  8.000000e+00  -5.134378e-06   8.961319e-07   5.211994e-06   1.700996e+02 
  1.000000e+01  -4.042131e-06  -3.924317e-06   5.633746e-06  -1.358473e+02 
  1.200000e+01  -4.503697e-06  -6.669206e-06   8.047459e-06  -1.240311e+02 
  1.400000e+01  -4.423024e-06  -6.904286e-06   8.199530e-06  -1.226444e+02 
  1.600000e+01  -4.087332e-06  -5.272902e-06   6.671565e-06  -1.277813e+02 
  1.800000e+01  -8.619887e-07  -2.095545e-06   2.265907e-06  -1.123595e+02 
  2.000000e+01   6.784552e-06   4.413243e-06   8.093631e-06   3.304336e+01 
  2.200000e+01   1.295233e-05   1.133937e-05   1.721465e-05   4.120116e+01 
  2.400000e+01   1.348354e-05   9.220688e-06   1.633484e-05   3.436618e+01 
  2.600000e+01   1.151253e-05   6.943124e-07   1.153345e-05   3.451286e+00 
  2.800000e+01   9.109849e-06  -3.126853e-06   9.631540e-06  -1.894420e+01 
  3.000000e+01   6.465305e-06  -1.109168e-06   6.559758e-06  -9.734724e+00 
  3.200000e+01   4.484616e-06   9.615275e-07   4.586536e-06   1.210133e+01 
  3.400000e+01   2.988175e-06   2.637093e-07   2.999788e-06   5.043341e+00 
  3.600000e+01   1.800981e-06  -1.287442e-06   2.213829e-06  -3.555931e+01 
  3.800000e+01   8.407447e-07  -1.998696e-06   2.168326e-06  -6.718611e+01 
  4.000000e+01  -1.786044e-07  -2.309577e-06   2.316473e-06  -9.442200e+01 
  4.200000e+01  -6.352046e-07  -1.772019e-06   1.882428e-06  -1.097209e+02 
  4.400000e+01  -2.388048e-07  -4.048826e-07   4.700613e-07  -1.205326e+02 
  4.600000e+01  -2.413400e-07  -1.727588e-08   2.419576e-07  -1.759056e+02 
  4.800000e+01  -1.886363e-06  -7.616844e-07   2.034337e-06  -1.580119e+02 
  5.000000e+01  -4.095230e-06  -9.182303e-07   4.196910e-06  -1.673622e+02 
  5.200000e+01  -3.814302e-06  -2.351830e-07   3.821546e-06  -1.764717e+02 
  5.400000e+01  -1.523161e-06  -3.560794e-08   1.523577e-06  -1.786608e+02 
  5.600000e+01  -5.505245e-06  -1.989616e-06   5.853742e-06  -1.601299e+02 
  5.800000e+01  -2.139767e-05  -6.230820e-06   2.228640e-05  -1.637649e+02 
  6.000000e+01  -3.300009e-05  -8.470935e-06   3.406997e-05  -1.656033e+02 
  6.200000e+01  -2.431189e-05  -5.342727e-06   2.489202e-05  -1.676058e+02 
  6.400000e+01  -8.367382e-06  -1.075062e-06   8.436163e-06  -1.726786e+02 
  6.600000e+01  -3.044596e-07   7.866151e-08   3.144572e-07   1.655136e+02 
  6.800000e+01   7.343605e-07   4.656579e-07   8.695530e-07   3.237878e+01 
  7.000000e+01   1.474276e-07   2.108642e-06   2.113789e-06   8.600062e+01 
  7.200000e+01   7.112922e-07   2.854812e-06   2.942089e-06   7.600930e+01 
  7.400000e+01   1.085288e-06   1.507090e-06   1.857194e-06   5.424153e+01 
  7.600000e+01   6.745288e-07  -1.741659e-07   6.966512e-07  -1.447778e+01 
  7.800000e+01   7.106466e-07  -9.064793e-07   1.151835e-06  -5.190485e+01 
  8.000000e+01   1.051428e-06  -1.654269e-06   1.960129e-06  -5.756060e+01 
  8.200000e+01   1.102624e-06  -2.042032e-06   2.320706e-06  -6.163254e+01 
  8.400000e+01   1.460391e-06  -1.007419e-06   1.774157e-06  -3.459902e+01 
  8.600000e+01   1.829334e-06   1.974792e-07   1.839962e-06   6.161303e+00 
  8.800000e+01   9.827043e-07   7.914149e-07   1.261763e-06   3.884602e+01 
  9.000000e+01   6.304757e-09   7.594518e-07   7.594780e-07   8.952435e+01 
  9.200000e+01   3.535738e-07  -7.355129e-09   3.536503e-07  -1.191709e+00 
  9.400000e+01   6.271162e-07  -4.117489e-07   7.502080e-07  -3.328791e+01 
  9.600000e+01   2.913255e-07   5.099265e-07   5.872781e-07   6.026028e+01 
  9.800000e+01   5.917282e-07   1.215006e-06   1.351437e-06   6.403315e+01 
  1.000000e+02   7.047505e-07   4.414230e-07   8.315814e-07   3.206112e+01 
  1.020000e+02  -6.771643e-08  -2.905018e-07   2.982898e-07  -1.031214e+02 
  1.040000e+02  -9.369622e-08  -8.060507e-07   8.114781e-07  -9.663036e+01 
  1.060000e+02   3.232691e-07  -1.957171e-06   1.983689e-06  -8.062103e+01 
  1.080000e+02  -3.404154e-07  -1.966437e-06   1.995685e-06  -9.982129e+01 
  1.100000e+02  -7.780043e-07  -5.478190e-07   9.515231e-07  -1.448493e+02 
  1.120000e+02  -3.181104e-07   1.427488e-07   3.486710e-07   1.558323e+02 
  1.140000e+02  -1.880309e-07   2.991958e-07   3.533748e-07   1.221475e+02 
  1.160000e+02   7.322505e-08   8.042246e-07   8.075513e-07   8.479753e+01 
  1.180000e+02   9.411116e-07   5.021045e-07   1.066677e-06   2.808094e+01 
  1.200000e+02   9.680036e-07  -7.111693e-08   9.706125e-07  -4.201836e+00 
  1.220000e+02   1.899194e-07   2.598771e-07   3.218781e-07   5.384048e+01 
  1.240000e+02   2.222940e-07   4.559715e-07   5.072717e-07   6.400996e+01 
  1.260000e+02   1.911029e-07  -1.586328e-07   2.483640e-07  -3.969575e+01 
  1.280000e+02  -7.994385e-08  -4.018012e-07   4.096770e-07  -1.012528e+02 
  1.300000e+02   4.811642e-07   1.748530e-07   5.119498e-07   1.997093e+01 
  1.320000e+02   1.035730e-06   4.941511e-08   1.036908e-06   2.731534e+00 
  1.340000e+02   4.329335e-07  -1.423297e-07   4.557292e-07  -1.819861e+01 
  1.360000e+02  -2.039733e-07   1.729304e-07   2.674136e-07   1.397084e+02 
  1.380000e+02  -7.285922e-08  -1.975911e-07   2.105961e-07  -1.102408e+02 
  1.400000e+02  -9.142028e-07  -5.143981e-07   1.048986e-06  -1.506347e+02 
  1.420000e+02  -2.495686e-06  -4.730402e-06   5.348379e-06  -1.178154e+02 
  1.440000e+02   6.566804e-06  -2.913107e-05   2.986205e-05  -7.729656e+01 
  1.460000e+02   4.044664e-05  -5.657945e-05   6.954973e-05  -5.444036e+01 
  1.480000e+02   6.235004e-05  -4.177870e-05   7.505323e-05  -3.382473e+01 
  1.500000e+02   3.799633e-05  -9.076801e-06   3.906546e-05  -1.343538e+01 
  1.520000e+02   8.884603e-06   6.190812e-07   8.906145e-06   3.985940e+00 
  1.540000e+02   1.138967e-06  -6.613761e-07   1.317066e-06  -3.014291e+01 
  1.560000e+02  -1.707715e-07  -9.391512e-07   9.545512e-07  -1.003058e+02 
  1.580000e+02  -1.149134e-06  -8.630378e-07   1.437130e-06  -1.430922e+02 
  1.600000e+02  -7.763388e-07  -6.740524e-07   1.028129e-06  -1.390340e+02 
  1.620000e+02  -1.334248e-07  -5.324915e-07   5.489530e-07  -1.040668e+02 
  1.640000e+02   4.869350e-07  -7.749207e-07   9.152091e-07  -5.785608e+01 
  1.660000e+02   1.041357e-06  -1.151540e-06   1.552568e-06  -4.787640e+01 
  1.680000e+02   9.224605e-07  -1.330167e-06   1.618727e-06  -5.525898e+01 
  1.700000e+02   4.236062e-07  -6.872449e-07   8.073090e-07  -5.835102e+01 
  1.720000e+02  -4.367974e-07  -1.137469e-07   4.513650e-07  -1.654037e+02 
  1.740000e+02  -9.775500e-07   6.412671e-09   9.775711e-07   1.796241e+02 
  1.760000e+02   1.023771e-07   1.342128e-06   1.346027e-06   8.563794e+01 
  1.780000e+02   2.832579e-06   3.933370e-06   4.847154e-06   5.424081e+01 
  1.800000e+02   4.088831e-06   5.046285e-06   6.494885e-06   5.098333e+01 
  1.820000e+02   2.653631e-06   3.240400e-06   4.188311e-06   5.068524e+01 
  1.840000e+02   1.066679e-06   9.231417e-07   1.410672e-06   4.087406e+01 
  1.860000e+02  -1.545482e-07  -8.570144e-08   1.767198e-07  -1.509904e+02 
  1.880000e+02  -9.184819e-07  -1.729616e-08   9.186448e-07  -1.789212e+02 
  1.900000e+02  -7.769939e-07  -2.175838e-08   7.772985e-07  -1.783959e+02 
  1.920000e+02  -3.966161e-07  -8.062569e-07   8.985291e-07  -1.161936e+02 
  1.940000e+02  -5.492706e-07  -7.825982e-07   9.561162e-07  -1.250633e+02 
  1.960000e+02  -5.359886e-07  -1.003784e-07   5.453069e-07  -1.693927e+02 
  1.980000e+02   1.832827e-07  -3.048135e-07   3.556738e-07  -5.898174e+01 
  2.000000e+02   5.951524e-07  -9.326221e-07   1.106341e-06  -5.745603e+01 
  2.020000e+02   7.804315e-07  -7.343417e-07   1.071602e-06  -4.325721e+01 
