Input File: 0308-09.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -4.377388e-05   5.067679e-08   4.377391e-05   1.799337e+02 
  2.000000e+00  -2.293130e-05   2.144925e-06   2.303139e-05   1.746563e+02 
  4.000000e+00  -8.594689e-06  -6.898838e-06   1.102101e-05  -1.412465e+02 
  6.000000e+00  -1.290477e-05   3.156557e-06   1.328522e-05   1.662551e+02 
  8.000000e+00  -3.829975e-06   8.434191e-06   9.263061e-06   1.144228e+02 
  1.000000e+01  -4.061764e-07  -2.008677e-06   2.049332e-06  -1.014317e+02 
  1.200000e+01  -1.997474e-06  -3.127584e-06   3.711022e-06  -1.225649e+02 
  1.400000e+01   4.069843e-06  -3.253601e-06   5.210522e-06  -3.864028e+01 
  1.600000e+01   6.551085e-06  -1.047824e-05   1.235759e-05  -5.798602e+01 
  1.800000e+01   6.544269e-06  -8.829794e-06   1.099057e-05  -5.345572e+01 
  2.000000e+01   1.283276e-05  -1.851091e-07   1.283409e-05  -8.264189e-01 
  2.200000e+01   1.505819e-05   1.736002e-06   1.515793e-05   6.576382e+00 
  2.400000e+01   7.632626e-06   1.299158e-06   7.742402e-06   9.659803e+00 
  2.600000e+01   3.502329e-06   2.656828e-06   4.396026e-06   3.718354e+01 
  2.800000e+01   5.433923e-06  -3.686060e-08   5.434048e-06  -3.886555e-01 
  3.000000e+01   4.037161e-06  -2.377143e-06   4.685027e-06  -3.049023e+01 
  3.200000e+01   1.207839e-06   1.435886e-06   1.876338e-06   4.993010e+01 
  3.400000e+01   1.851789e-06   3.188329e-06   3.687081e-06   5.985187e+01 
  3.600000e+01   1.940736e-06   8.111300e-07   2.103423e-06   2.268248e+01 
  3.800000e+01   9.244043e-07   2.109511e-06   2.303163e-06   6.633659e+01 
  4.000000e+01   2.029173e-06   3.614207e-06   4.144881e-06   6.068825e+01 
  4.200000e+01   2.103020e-06  -2.662018e-07   2.119801e-06  -7.214173e+00 
  4.400000e+01   1.321680e-07  -2.064387e-06   2.068614e-06  -8.633675e+01 
  4.600000e+01   2.448257e-07   1.156248e-06   1.181883e-06   7.804468e+01 
  4.800000e+01   1.448621e-07   2.169606e-06   2.174437e-06   8.618009e+01 
  5.000000e+01  -3.087999e-06   5.102644e-07   3.129873e-06   1.706172e+02 
  5.200000e+01  -4.229456e-06   1.992472e-07   4.234147e-06   1.773028e+02 
  5.400000e+01  -8.305838e-07  -1.794832e-07   8.497551e-07  -1.678063e+02 
  5.600000e+01   6.140525e-06  -3.035427e-06   6.849808e-06  -2.630443e+01 
  5.800000e+01   2.020741e-05  -7.432664e-06   2.153100e-05  -2.019447e+01 
  6.000000e+01   3.032850e-05  -9.931801e-06   3.191330e-05  -1.813228e+01 
  6.200000e+01   2.064608e-05  -7.949271e-06   2.212355e-05  -2.105798e+01 
  6.400000e+01   4.740103e-06  -3.019255e-06   5.620007e-06  -3.249549e+01 
  6.600000e+01   1.624067e-07   6.895567e-07   7.084238e-07   7.674703e+01 
  6.800000e+01   2.063881e-06   6.558641e-07   2.165586e-06   1.762932e+01 
  7.000000e+01   2.176733e-06  -3.688992e-07   2.207772e-06  -9.618736e+00 
  7.200000e+01   1.978525e-06  -5.453007e-08   1.979276e-06  -1.578727e+00 
  7.400000e+01   2.854962e-06  -6.256219e-07   2.922706e-06  -1.236013e+01 
  7.600000e+01   1.442327e-06  -2.025133e-06   2.486256e-06  -5.454102e+01 
  7.800000e+01  -1.088369e-06  -1.830230e-06   2.129387e-06  -1.207384e+02 
  8.000000e+01  -1.088999e-06  -1.104850e-06   1.551326e-06  -1.345860e+02 
  8.200000e+01  -5.157340e-07  -1.325810e-06   1.422587e-06  -1.112558e+02 
