Input File: 0308-12.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -3.056022e-05   3.537940e-08   3.056024e-05   1.799337e+02 
  2.000000e+00  -2.133672e-05  -6.588265e-06   2.233071e-05  -1.628406e+02 
  4.000000e+00  -6.061216e-06  -5.495780e-06   8.181805e-06  -1.378010e+02 
  6.000000e+00   1.024864e-06  -1.666334e-06   1.956276e-06  -5.840677e+01 
  8.000000e+00   2.450798e-06   1.188541e-06   2.723792e-06   2.587157e+01 
  1.000000e+01   2.995529e-06   2.374231e-06   3.822325e-06   3.840004e+01 
  1.200000e+01   3.105133e-06   2.734503e-06   4.137555e-06   4.136842e+01 
  1.400000e+01   3.911582e-06   4.885097e-06   6.258167e-06   5.131514e+01 
  1.600000e+01   5.568483e-06   3.834751e-06   6.761163e-06   3.455334e+01 
  1.800000e+01   5.389129e-06  -2.718893e-06   6.036149e-06  -2.677160e+01 
  2.000000e+01   3.956478e-06  -5.528572e-06   6.798443e-06  -5.441090e+01 
  2.200000e+01   3.279742e-06  -3.006413e-06   4.449184e-06  -4.251028e+01 
  2.400000e+01   1.168331e-06  -2.525003e-06   2.782200e-06  -6.516979e+01 
  2.600000e+01  -2.270859e-06  -3.055279e-06   3.806774e-06  -1.266218e+02 
  2.800000e+01  -5.019409e-06  -1.388558e-06   5.207933e-06  -1.645365e+02 
  3.000000e+01  -6.107843e-06  -1.559321e-06   6.303747e-06  -1.656784e+02 
  3.200000e+01  -4.119865e-06  -4.398218e-06   6.026409e-06  -1.331284e+02 
  3.400000e+01  -1.248797e-06  -5.105960e-06   5.256455e-06  -1.037434e+02 
  3.600000e+01  -8.955935e-07  -3.402324e-06   3.518223e-06  -1.047474e+02 
  3.800000e+01  -2.522431e-06  -2.784496e-06   3.757137e-06  -1.321729e+02 
  4.000000e+01  -2.858542e-06  -3.289789e-06   4.358208e-06  -1.309878e+02 
  4.200000e+01  -7.988522e-07  -4.011391e-06   4.090161e-06  -1.012629e+02 
  4.400000e+01   6.424190e-07  -4.793178e-06   4.836038e-06  -8.236626e+01 
  4.600000e+01   4.739155e-07  -4.201615e-06   4.228258e-06  -8.356459e+01 
  4.800000e+01   1.074314e-06  -2.800713e-06   2.999690e-06  -6.901389e+01 
  5.000000e+01   2.240721e-06  -1.970038e-06   2.983602e-06  -4.132187e+01 
  5.200000e+01   1.522204e-06  -1.052726e-06   1.850767e-06  -3.466695e+01 
  5.400000e+01  -2.563926e-07  -3.255312e-07   4.143763e-07  -1.282244e+02 
  5.600000e+01   1.498366e-06  -5.185323e-06   5.397469e-06  -7.388266e+01 
  5.800000e+01   8.952265e-06  -2.015050e-05   2.204962e-05  -6.604585e+01 
  6.000000e+01   1.459388e-05  -3.039522e-05   3.371722e-05  -6.435259e+01 
  6.200000e+01   1.090178e-05  -2.187083e-05   2.443731e-05  -6.350549e+01 
  6.400000e+01   3.096354e-06  -8.811949e-06   9.340120e-06  -7.063947e+01 
  6.600000e+01  -1.508653e-06  -3.394467e-06   3.714625e-06  -1.139625e+02 
  6.800000e+01  -1.856265e-06  -2.217137e-06   2.891611e-06  -1.299373e+02 
  7.000000e+01   8.112419e-09  -2.575065e-06   2.575078e-06  -8.981949e+01 
  7.200000e+01   7.542267e-07  -2.390991e-06   2.507129e-06  -7.249236e+01 
  7.400000e+01  -4.908154e-07  -8.627619e-07   9.926015e-07  -1.196350e+02 
  7.600000e+01  -1.241483e-06   7.413091e-08   1.243695e-06   1.765828e+02 
  7.800000e+01  -7.633771e-07  -2.041868e-07   7.902132e-07  -1.650252e+02 
  8.000000e+01  -4.405701e-07  -3.072875e-07   5.371476e-07  -1.451051e+02 
  8.200000e+01  -1.195373e-07  -1.948376e-07   2.285845e-07  -1.215301e+02 
  8.400000e+01   5.922267e-07  -7.797451e-07   9.791501e-07  -5.278284e+01 
  8.600000e+01   1.140903e-06  -1.112803e-06   1.593735e-06  -4.428564e+01 
  8.800000e+01   1.192211e-06  -6.836841e-07   1.374333e-06  -2.983251e+01 
  9.000000e+01   3.681209e-07  -1.268363e-06   1.320703e-06  -7.381551e+01 
  9.200000e+01  -8.688035e-07  -2.687165e-06   2.824124e-06  -1.079168e+02 
  9.400000e+01  -9.379589e-07  -2.754591e-06   2.909904e-06  -1.088041e+02 
  9.600000e+01   1.508021e-07  -1.738851e-06   1.745378e-06  -8.504341e+01 
  9.800000e+01   6.423469e-07  -7.291979e-07   9.717711e-07  -4.862333e+01 
  1.000000e+02   1.040536e-07   5.731553e-07   5.825240e-07   7.971029e+01 
  1.020000e+02  -4.284290e-07   1.422859e-06   1.485961e-06   1.067573e+02 
  1.040000e+02  -7.618762e-07   5.779552e-07   9.562884e-07   1.428162e+02 
  1.060000e+02  -1.220830e-06  -6.345583e-07   1.375896e-06  -1.525357e+02 
  1.080000e+02  -1.052429e-06  -1.074640e-06   1.504146e-06  -1.344017e+02 
  1.100000e+02  -1.437485e-07  -1.827816e-06   1.833460e-06  -9.449677e+01 
  1.120000e+02   1.185115e-07  -2.492186e-06   2.495002e-06  -8.727744e+01 
  1.140000e+02  -1.961335e-07  -1.585846e-06   1.597929e-06  -9.705039e+01 
  1.160000e+02   2.217337e-07  -3.818530e-07   4.415627e-07  -5.985719e+01 
  1.180000e+02   8.674742e-07  -5.481501e-07   1.026148e-06  -3.228847e+01 
  1.200000e+02   4.932271e-07  -8.356133e-07   9.703208e-07  -5.944844e+01 
  1.220000e+02  -1.758786e-07  -1.298472e-07   2.186174e-07  -1.435624e+02 
  1.240000e+02  -4.832943e-07   2.815113e-07   5.593049e-07   1.497799e+02 
  1.260000e+02  -1.090371e-06  -1.133775e-07   1.096250e-06  -1.740637e+02 
  1.280000e+02  -1.494255e-06  -2.239942e-09   1.494256e-06  -1.799141e+02 
  1.300000e+02  -9.016173e-07   2.504091e-07   9.357449e-07   1.644783e+02 
  1.320000e+02  -6.634971e-07  -1.281545e-07   6.757603e-07  -1.690679e+02 
  1.340000e+02  -1.317177e-06   8.628043e-08   1.320000e-06   1.762522e+02 
  1.360000e+02  -7.646814e-07   8.750256e-07   1.162070e-06   1.311501e+02 
  1.380000e+02   1.803730e-07   1.976206e-07   2.675599e-07   4.761257e+01 
  1.400000e+02  -5.698046e-07  -4.437572e-07   7.222172e-07  -1.420889e+02 
  1.420000e+02  -1.497671e-09  -7.370028e-06   7.370028e-06  -9.001163e+01 
  1.440000e+02   2.770300e-05  -4.302303e-05   5.117067e-05  -5.722207e+01 
  1.460000e+02   9.963838e-05  -7.404008e-05   1.241360e-04  -3.661559e+01 
  1.480000e+02   1.340418e-04  -4.169989e-05   1.403784e-04  -1.728071e+01 
  1.500000e+02   7.507206e-05   2.129141e-06   7.510225e-05   1.624547e+00 
  1.520000e+02   1.205405e-05   5.694726e-06   1.333154e-05   2.528758e+01 
  1.540000e+02  -2.173961e-06   6.499133e-07   2.269030e-06   1.633558e+02 
  1.560000e+02  -3.478912e-07  -3.265686e-07   4.771534e-07  -1.368108e+02 
  1.580000e+02  -1.082566e-07  -1.173912e-06   1.178893e-06  -9.526883e+01 
  1.600000e+02   1.790810e-07  -2.131114e-07   2.783639e-07  -4.995911e+01 
  1.620000e+02   1.264049e-06   3.809851e-07   1.320216e-06   1.677284e+01 
  1.640000e+02   5.737954e-07   5.648903e-08   5.765693e-07   5.622539e+00 
