Input File: 0308-14.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -9.096133e-05   1.053054e-07   9.096139e-05   1.799337e+02 
  2.000000e+00  -6.699039e-05   4.620915e-06   6.714957e-05   1.760540e+02 
  4.000000e+00  -2.760601e-05   2.751927e-06   2.774283e-05   1.743072e+02 
  6.000000e+00  -8.284707e-06  -1.411862e-06   8.404149e-06  -1.703287e+02 
  8.000000e+00  -3.700647e-06  -4.356203e-06   5.715881e-06  -1.303483e+02 
  1.000000e+01  -3.058715e-06  -5.720996e-06   6.487337e-06  -1.181311e+02 
  1.200000e+01  -2.445671e-06  -3.182118e-06   4.013375e-06  -1.275447e+02 
  1.400000e+01  -3.847362e-07   1.390233e-06   1.442488e-06   1.054690e+02 
  1.600000e+01   1.618353e-06   2.003671e-06   2.575609e-06   5.107240e+01 
  1.800000e+01   1.585712e-06  -6.526084e-08   1.587054e-06  -2.356709e+00 
  2.000000e+01   9.919742e-07   6.696556e-07   1.196851e-06   3.402225e+01 
  2.200000e+01   1.845421e-06   3.243506e-06   3.731744e-06   6.036190e+01 
  2.400000e+01   2.784805e-06   3.158106e-06   4.210554e-06   4.859428e+01 
  2.600000e+01   2.754558e-06   3.375024e-07   2.775157e-06   6.985352e+00 
  2.800000e+01   3.466556e-06  -1.593493e-06   3.815263e-06  -2.468712e+01 
  3.000000e+01   4.200371e-06  -1.121864e-06   4.347608e-06  -1.495389e+01 
  3.200000e+01   3.096015e-06   5.418901e-07   3.143081e-06   9.927814e+00 
  3.400000e+01   3.132193e-06   2.306555e-06   3.889837e-06   3.636802e+01 
  3.600000e+01   4.770695e-06   2.993835e-06   5.632281e-06   3.211020e+01 
  3.800000e+01   2.737411e-06   2.200893e-06   3.512456e-06   3.879947e+01 
  4.000000e+01  -1.757912e-06   1.872264e-06   2.568196e-06   1.331958e+02 
  4.200000e+01  -2.772346e-06   2.163439e-06   3.516585e-06   1.420328e+02 
  4.400000e+01  -1.681634e-06   1.273939e-06   2.109695e-06   1.428539e+02 
  4.600000e+01  -1.623928e-06   6.893090e-07   1.764168e-06   1.570002e+02 
  4.800000e+01  -7.123357e-07   1.807739e-06   1.943024e-06   1.115068e+02 
  5.000000e+01   4.696466e-07   2.751567e-06   2.791359e-06   8.031390e+01 
  5.200000e+01  -1.051606e-06   3.546763e-06   3.699379e-06   1.065149e+02 
  5.400000e+01  -3.205632e-06   5.364553e-06   6.249360e-06   1.208608e+02 
  5.600000e+01  -4.378625e-06   1.018248e-05   1.108401e-05   1.132684e+02 
  5.800000e+01  -7.895633e-06   2.283012e-05   2.415689e-05   1.090776e+02 
  6.000000e+01  -1.072414e-05   3.190539e-05   3.365948e-05   1.085787e+02 
  6.200000e+01  -7.087479e-06   2.107109e-05   2.223113e-05   1.085909e+02 
  6.400000e+01  -2.792463e-06   4.191396e-06   5.036432e-06   1.236730e+02 
  6.600000e+01  -2.492984e-06  -1.130005e-06   2.737130e-06  -1.556164e+02 
  6.800000e+01  -1.829733e-06   2.179732e-07   1.842670e-06   1.732065e+02 
  7.000000e+01  -2.747957e-07   4.534216e-07   5.301922e-07   1.212179e+02 
  7.200000e+01  -1.888708e-08   3.632512e-07   3.637419e-07   9.297638e+01 
  7.400000e+01   8.448750e-07   1.048218e-06   1.346319e-06   5.113079e+01 
  7.600000e+01   2.655435e-06   2.070535e-08   2.655516e-06   4.467460e-01 
  7.800000e+01   2.443249e-06  -2.271493e-06   3.336037e-06  -4.291366e+01 
  8.000000e+01   1.195997e-06  -2.578902e-06   2.842735e-06  -6.511991e+01 
  8.200000e+01   1.251190e-06  -1.364602e-06   1.851382e-06  -4.748260e+01 
  8.400000e+01   1.216524e-06  -8.521287e-07   1.485279e-06  -3.500977e+01 
  8.600000e+01   5.008660e-07  -1.903547e-07   5.358186e-07  -2.080935e+01 
  8.800000e+01   8.850997e-07   7.333706e-07   1.149449e-06   3.964426e+01 
  9.000000e+01   1.187947e-06   3.296431e-07   1.232835e-06   1.550879e+01 
  9.200000e+01  -1.887766e-07   2.511394e-08   1.904398e-07   1.724221e+02 
  9.400000e+01  -5.134921e-07   1.002609e-06   1.126454e-06   1.171195e+02 
  9.600000e+01   6.519813e-07   5.459839e-07   8.503987e-07   3.994357e+01 
  9.800000e+01   3.770199e-07  -1.060613e-06   1.125631e-06  -7.043105e+01 
  1.000000e+02  -2.399094e-07  -8.037393e-07   8.387810e-07  -1.066199e+02 
  1.020000e+02   1.100847e-06  -4.506753e-07   1.189527e-06  -2.226367e+01 
  1.040000e+02   1.513792e-06  -2.058993e-06   2.555585e-06  -5.367630e+01 
  1.060000e+02   1.971875e-08  -2.841904e-06   2.841973e-06  -8.960246e+01 
  1.080000e+02   4.110724e-07  -1.323085e-06   1.385472e-06  -7.274037e+01 
  1.100000e+02   1.370428e-06  -3.129886e-07   1.405715e-06  -1.286498e+01 
  1.120000e+02  -8.419982e-08  -3.699670e-08   9.196937e-08  -1.562797e+02 
  1.140000e+02  -1.137289e-06   1.022115e-06   1.529100e-06   1.380530e+02 
  1.160000e+02  -2.957102e-07   5.611000e-07   6.342536e-07   1.177901e+02 
  1.180000e+02  -5.177857e-07  -1.179476e-06   1.288125e-06  -1.137013e+02 
  1.200000e+02  -7.621114e-07  -8.019649e-07   1.106328e-06  -1.335404e+02 
  1.220000e+02   9.682818e-07   1.414817e-08   9.683852e-07   8.371250e-01 
  1.240000e+02   1.029021e-06  -1.055033e-06   1.473764e-06  -4.571511e+01 
  1.260000e+02  -9.096402e-07  -5.873591e-07   1.082791e-06  -1.471495e+02 
  1.280000e+02  -5.446316e-07   9.277183e-07   1.075772e-06   1.204157e+02 
  1.300000e+02   6.668068e-07  -3.020092e-08   6.674904e-07  -2.593260e+00 
  1.320000e+02  -6.978421e-07  -5.676772e-07   8.995783e-07  -1.408725e+02 
  1.340000e+02  -4.017483e-07   1.515229e-06   1.567585e-06   1.048497e+02 
  1.360000e+02   9.828291e-07   1.665597e-06   1.933951e-06   5.945616e+01 
  1.380000e+02  -9.670241e-07   5.119583e-08   9.683783e-07   1.769695e+02 
  1.400000e+02  -1.579557e-06   1.648712e-06   2.283254e-06   1.337728e+02 
  1.420000e+02  -8.225392e-06   4.860823e-06   9.554301e-06   1.494189e+02 
  1.440000e+02  -6.699396e-05  -9.637376e-06   6.768360e-05  -1.718139e+02 
  1.460000e+02  -1.529783e-04  -7.691216e-05   1.712246e-04  -1.533083e+02 
  1.480000e+02  -1.409076e-04  -1.349914e-04   1.951349e-04  -1.362284e+02 
  1.500000e+02  -5.004644e-05  -9.280301e-05   1.054374e-04  -1.183369e+02 
  1.520000e+02  -1.658181e-06  -2.167135e-05   2.173470e-05  -9.437545e+01 
  1.540000e+02   1.531023e-06  -1.935346e-07   1.543207e-06  -7.204471e+00 
  1.560000e+02  -1.146916e-07  -2.937229e-07   3.153210e-07  -1.113294e+02 
  1.580000e+02  -4.193790e-08   2.436542e-07   2.472370e-07   9.976609e+01 
  1.600000e+02   5.255797e-07  -3.591678e-07   6.365811e-07  -3.434771e+01 
  1.620000e+02  -5.409655e-08  -7.302791e-07   7.322800e-07  -9.423653e+01 
  1.640000e+02  -5.528433e-07  -5.517362e-07   7.810561e-07  -1.350574e+02 
  1.660000e+02  -5.058059e-07  -3.771696e-07   6.309489e-07  -1.432888e+02 
  1.680000e+02  -4.255896e-07  -1.776957e-07   4.611965e-07  -1.573381e+02 
  1.700000e+02  -1.696319e-07   2.929443e-07   3.385134e-07   1.200734e+02 
  1.720000e+02  -1.090519e-07   5.128152e-07   5.242821e-07   1.020053e+02 
  1.740000e+02  -1.590024e-07   8.007086e-07   8.163431e-07   1.012315e+02 
  1.760000e+02  -1.037299e-06   1.265075e-06   1.635972e-06   1.293501e+02 
  1.780000e+02  -3.634391e-06   2.211412e-06   4.254308e-06   1.486808e+02 
  1.800000e+02  -5.631369e-06   3.429401e-06   6.593414e-06   1.486593e+02 
  1.820000e+02  -3.691654e-06   2.624106e-06   4.529265e-06   1.445940e+02 
  1.840000e+02  -1.041903e-06   2.057340e-07   1.062021e-06   1.688301e+02 
  1.860000e+02  -8.207092e-07  -1.012022e-06   1.302978e-06  -1.290406e+02 
  1.880000e+02  -9.692495e-07  -3.439384e-07   1.028464e-06  -1.604627e+02 
  1.900000e+02  -9.797055e-07  -1.567952e-07   9.921732e-07  -1.709073e+02 
  1.920000e+02  -1.472182e-06  -4.164755e-07   1.529958e-06  -1.642040e+02 
  1.940000e+02  -1.771793e-06   3.064167e-07   1.798094e-06   1.701882e+02 
  1.960000e+02  -9.313827e-07   6.428210e-07   1.131677e-06   1.453874e+02 
  1.980000e+02  -4.379245e-07   2.705909e-07   5.147789e-07   1.482883e+02 
  2.000000e+02  -4.337811e-07   4.209195e-07   6.044330e-07   1.358621e+02 
  2.020000e+02   1.553306e-07   9.540246e-07   9.665871e-07   8.075246e+01 
  2.040000e+02   2.076691e-07   5.130843e-07   5.535179e-07   6.796452e+01 
  2.060000e+02  -5.302332e-07   3.881275e-07   6.571074e-07   1.437961e+02 
  2.080000e+02  -6.571748e-07   6.208831e-07   9.040877e-07   1.366265e+02 
  2.100000e+02   1.847715e-07  -1.426452e-07   2.334270e-07  -3.766845e+01 
  2.120000e+02   2.012159e-07  -8.683174e-07   8.913266e-07  -7.695308e+01 
  2.140000e+02   1.976073e-07  -3.803153e-07   4.285888e-07  -6.254415e+01 
  2.160000e+02   9.079499e-07   2.801412e-07   9.501853e-07   1.714722e+01 
  2.180000e+02   8.818608e-07   9.739658e-08   8.872230e-07   6.302454e+00 
  2.200000e+02   1.285421e-07   6.383356e-07   6.511493e-07   7.861457e+01 
  2.220000e+02   1.536178e-07   1.009565e-06   1.021185e-06   8.134810e+01 
  2.240000e+02   4.221002e-07   1.363711e-07   4.435828e-07   1.790447e+01 
  2.260000e+02  -2.511321e-07  -3.649462e-07   4.430046e-07  -1.245332e+02 
  2.280000e+02  -2.353629e-07   1.677288e-07   2.890133e-07   1.445248e+02 
  2.300000e+02   1.508265e-07   1.239092e-07   1.951976e-07   3.940428e+01 
  2.320000e+02  -4.487383e-07  -2.392262e-07   5.085226e-07  -1.519375e+02 
  2.340000e+02  -9.004416e-07   6.614438e-07   1.117275e-06   1.436998e+02 
  2.360000e+02   1.874133e-07   1.028585e-06   1.045519e-06   7.967370e+01 
  2.380000e+02   1.094921e-06   3.898762e-07   1.162264e-06   1.959964e+01 
  2.400000e+02   8.029425e-07   2.446487e-07   8.393865e-07   1.694546e+01 
  2.420000e+02   9.304576e-07   4.581470e-07   1.037135e-06   2.621512e+01 
  2.440000e+02   6.911813e-07   6.170315e-08   6.939300e-07   5.101387e+00 
  2.460000e+02  -2.686315e-07   6.437929e-09   2.687086e-07   1.786271e+02 
  2.480000e+02  -2.690091e-07   3.790497e-07   4.648060e-07   1.253631e+02 
  2.500000e+02   4.787121e-07  -4.787814e-07   6.770502e-07  -4.500415e+01 
  2.520000e+02   9.259189e-08  -9.609947e-07   9.654451e-07  -8.449653e+01 
  2.540000e+02  -4.131228e-07   3.605173e-08   4.146929e-07   1.750126e+02 
  2.560000e+02   1.074647e-07   4.766197e-07   4.885847e-07   7.729385e+01 
  2.580000e+02  -4.383167e-07  -2.034073e-07   4.832143e-07  -1.551056e+02 
  2.600000e+02  -1.356473e-06  -2.860316e-08   1.356775e-06  -1.787920e+02 
  2.620000e+02  -7.302118e-07   4.580930e-07   8.620083e-07   1.478982e+02 
  2.640000e+02   2.049107e-07  -2.238066e-07   3.034432e-07  -4.752370e+01 
  2.660000e+02  -2.806216e-07  -2.287616e-07   3.620502e-07  -1.408132e+02 
  2.680000e+02  -4.012201e-07   3.994988e-07   5.661951e-07   1.351232e+02 
  2.700000e+02   2.687213e-07   2.002193e-07   3.351103e-07   3.668913e+01 
  2.720000e+02  -2.441340e-07  -3.007999e-07   3.874042e-07  -1.290633e+02 
  2.740000e+02  -5.911647e-07   4.567806e-07   7.470771e-07   1.423075e+02 
  2.760000e+02  -1.001825e-07   7.302784e-07   7.371181e-07   9.781130e+01 
  2.780000e+02  -4.168281e-08  -3.278110e-07   3.304505e-07  -9.724655e+01 
  2.800000e+02  -4.761846e-07  -5.419190e-07   7.214069e-07  -1.313058e+02 
  2.820000e+02   3.633464e-07  -4.343619e-07   5.662957e-07  -5.008731e+01 
