Input File: 0308-16.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -1.475691e-04   1.708399e-07   1.475692e-04   1.799337e+02 
  2.000000e+00  -9.821249e-05  -6.353966e-07   9.821455e-05  -1.796293e+02 
  4.000000e+00  -2.478373e-05   3.000285e-06   2.496468e-05   1.730974e+02 
  6.000000e+00   1.569476e-06   1.067605e-05   1.079079e-05   8.163690e+01 
  8.000000e+00   2.959959e-06   1.420168e-05   1.450687e-05   7.822678e+01 
  1.000000e+01  -1.884225e-06   1.254482e-05   1.268554e-05   9.854193e+01 
  1.200000e+01  -7.570626e-06   1.168288e-05   1.392135e-05   1.229436e+02 
  1.400000e+01  -6.670172e-06   1.160323e-05   1.338380e-05   1.198926e+02 
  1.600000e+01  -5.283277e-07   8.442782e-06   8.459297e-06   9.358075e+01 
  1.800000e+01   5.582450e-06   4.631255e-06   7.253432e-06   3.967943e+01 
  2.000000e+01   8.862522e-06   5.069269e-06   1.020989e-05   2.976910e+01 
  2.200000e+01   8.280644e-06   6.663140e-06   1.062857e-05   3.882240e+01 
  2.400000e+01   5.073845e-06   4.058100e-06   6.497083e-06   3.865309e+01 
  2.600000e+01   1.500358e-06  -6.177774e-07   1.622567e-06  -2.237958e+01 
  2.800000e+01  -5.767736e-07  -2.516650e-06   2.581897e-06  -1.029083e+02 
  3.000000e+01   7.756618e-08  -1.584553e-06   1.586450e-06  -8.719753e+01 
  3.200000e+01   2.187262e-06  -3.972332e-07   2.223041e-06  -1.029342e+01 
  3.400000e+01   2.524084e-06   4.172252e-07   2.558334e-06   9.385989e+00 
  3.600000e+01   6.753612e-07   5.759647e-07   8.876081e-07   4.045836e+01 
  3.800000e+01  -1.111274e-06   1.064093e-07   1.116357e-06   1.745303e+02 
  4.000000e+01  -1.751699e-06  -6.812426e-08   1.753023e-06  -1.777729e+02 
  4.200000e+01  -1.503003e-06  -1.536910e-07   1.510841e-06  -1.741615e+02 
  4.400000e+01  -1.167253e-06   1.415747e-08   1.167338e-06   1.793051e+02 
  4.600000e+01  -1.126675e-06   1.191941e-06   1.640159e-06   1.333876e+02 
  4.800000e+01  -1.118427e-06   1.565525e-06   1.923992e-06   1.255424e+02 
  5.000000e+01  -1.229264e-06  -9.548220e-09   1.229301e-06  -1.795549e+02 
  5.200000e+01  -1.259819e-06  -9.080835e-07   1.552984e-06  -1.442157e+02 
  5.400000e+01  -3.785086e-07  -2.374974e-07   4.468487e-07  -1.478935e+02 
  5.600000e+01  -4.377549e-06   1.273116e-06   4.558921e-06   1.637840e+02 
  5.800000e+01  -2.048547e-05   4.685081e-06   2.101438e-05   1.671178e+02 
  6.000000e+01  -3.217095e-05   7.700750e-06   3.307978e-05   1.665384e+02 
  6.200000e+01  -2.192005e-05   6.660621e-06   2.290965e-05   1.630981e+02 
  6.400000e+01  -6.203661e-06   2.969779e-06   6.877863e-06   1.544189e+02 
  6.600000e+01  -9.042746e-07  -2.796743e-07   9.465359e-07  -1.628142e+02 
  6.800000e+01  -1.070192e-06  -1.196180e-06   1.605042e-06  -1.318182e+02 
  7.000000e+01  -1.229384e-06  -2.077778e-08   1.229560e-06  -1.790317e+02 
  7.200000e+01  -4.740726e-07   1.266080e-06   1.351926e-06   1.105280e+02 
  7.400000e+01   5.299119e-07   1.814998e-06   1.890773e-06   7.372416e+01 
  7.600000e+01   1.163109e-06   1.969263e-06   2.287099e-06   5.943256e+01 
  7.800000e+01   1.328630e-06   1.602589e-06   2.081718e-06   5.033949e+01 
  8.000000e+01   1.297674e-06   2.386957e-07   1.319444e-06   1.042255e+01 
  8.200000e+01   1.636276e-06  -1.102995e-06   1.973321e-06  -3.398345e+01 
  8.400000e+01   1.183409e-06  -1.082559e-06   1.603868e-06  -4.245166e+01 
  8.600000e+01  -5.327532e-07  -8.179720e-08   5.389961e-07  -1.712711e+02 
  8.800000e+01  -1.020746e-06   9.316698e-07   1.382003e-06   1.376122e+02 
  9.000000e+01   1.465808e-07   1.230973e-06   1.239670e-06   8.320935e+01 
  9.200000e+01   8.194665e-07   8.494128e-07   1.180266e-06   4.602800e+01 
  9.400000e+01   7.565723e-07   3.857043e-07   8.492169e-07   2.701271e+01 
  9.600000e+01   7.685884e-07  -6.649898e-08   7.714598e-07  -4.944969e+00 
  9.800000e+01   5.620715e-07  -4.181688e-07   7.005637e-07  -3.664843e+01 
  1.000000e+02   3.016276e-08  -2.648149e-07   2.665271e-07  -8.350193e+01 
  1.020000e+02  -1.835283e-07   3.260635e-07   3.741658e-07   1.193734e+02 
  1.040000e+02  -5.992984e-07   1.058087e-06   1.216021e-06   1.195271e+02 
  1.060000e+02  -1.287925e-06   1.820211e-06   2.229780e-06   1.252820e+02 
  1.080000e+02  -3.867697e-07   2.411821e-06   2.442637e-06   9.911062e+01 
  1.100000e+02   1.332616e-06   2.133456e-06   2.515452e-06   5.800994e+01 
  1.120000e+02   1.389223e-06   1.096173e-06   1.769615e-06   3.827537e+01 
  1.140000e+02   6.324941e-07   6.593577e-07   9.136746e-07   4.619128e+01 
  1.160000e+02   8.052193e-07   5.802582e-07   9.925109e-07   3.577732e+01 
  1.180000e+02   9.171707e-07   1.479396e-07   9.290254e-07   9.162886e+00 
  1.200000e+02   4.363783e-07  -4.258100e-08   4.384509e-07  -5.573173e+00 
  1.220000e+02   4.963491e-07   9.195365e-08   5.047949e-07   1.049562e+01 
  1.240000e+02   4.205990e-07  -2.682313e-07   4.988502e-07  -3.252713e+01 
  1.260000e+02  -5.631219e-07  -3.569160e-07   6.667048e-07  -1.476328e+02 
  1.280000e+02  -1.312468e-06   3.304826e-07   1.353437e-06   1.658666e+02 
  1.300000e+02  -6.043891e-07   2.266164e-07   6.454774e-07   1.594464e+02 
  1.320000e+02   1.461007e-07  -5.254814e-07   5.454137e-07  -7.446236e+01 
  1.340000e+02   2.731927e-07  -3.236795e-07   4.235595e-07  -4.983488e+01 
  1.360000e+02   1.090567e-06   4.165366e-07   1.167407e-06   2.090411e+01 
  1.380000e+02   1.063641e-06  -9.206360e-08   1.067618e-06  -4.946915e+00 
  1.400000e+02   2.718357e-08   5.760680e-08   6.369842e-08   6.473825e+01 
  1.420000e+02  -3.035665e-06  -1.827873e-06   3.543499e-06  -1.489465e+02 
  1.440000e+02  -9.186856e-06  -3.598354e-05   3.713776e-05  -1.043221e+02 
  1.460000e+02   1.042290e-05  -1.045117e-04   1.050301e-04  -8.430475e+01 
  1.480000e+02   5.326248e-05  -1.201752e-04   1.314495e-04  -6.609674e+01 
  1.500000e+02   5.224651e-05  -5.877775e-05   7.864173e-05  -4.836666e+01 
  1.520000e+02   1.575211e-05  -8.625267e-06   1.795896e-05  -2.870346e+01 
  1.540000e+02   3.627864e-07   1.487664e-06   1.531260e-06   7.629516e+01 
  1.560000e+02   5.154709e-07   2.225320e-07   5.614541e-07   2.335015e+01 
  1.580000e+02   2.584915e-07  -4.843467e-07   5.490078e-07  -6.191156e+01 
  1.600000e+02   3.909483e-07  -3.405556e-08   3.924288e-07  -4.978476e+00 
  1.620000e+02   3.569605e-07  -7.461801e-07   8.271672e-07  -6.443430e+01 
  1.640000e+02  -4.254845e-07  -9.080427e-07   1.002785e-06  -1.151065e+02 
  1.660000e+02  -7.899630e-07   5.315177e-07   9.521306e-07   1.460658e+02 
  1.680000e+02  -4.453894e-07   1.266938e-06   1.342946e-06   1.093690e+02 
  1.700000e+02  -6.358358e-07   6.996816e-07   9.454319e-07   1.322630e+02 
  1.720000e+02  -8.696425e-07   3.931489e-07   9.543816e-07   1.556732e+02 
  1.740000e+02  -6.263843e-07   7.436154e-07   9.722762e-07   1.301091e+02 
  1.760000e+02   5.022158e-07   2.470568e-07   5.596943e-07   2.619412e+01 
  1.780000e+02   3.148719e-06  -1.393148e-06   3.443152e-06  -2.386696e+01 
  1.800000e+02   5.164544e-06  -2.462421e-06   5.721541e-06  -2.549150e+01 
