Input File: 0308-02.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   1.821608e-04  -2.108865e-07   1.821609e-04  -6.633098e-02 
  2.000000e+00   1.238181e-04  -3.813819e-07   1.238187e-04  -1.764806e-01 
  4.000000e+00   3.354478e-05  -1.681821e-06   3.358692e-05  -2.870211e+00 
  6.000000e+00  -1.896011e-06  -3.552079e-06   4.026428e-06  -1.180922e+02 
  8.000000e+00  -3.589440e-06  -3.493043e-06   5.008535e-06  -1.357798e+02 
  1.000000e+01  -7.866355e-07   6.142240e-07   9.980313e-07   1.420164e+02 
  1.200000e+01   3.623417e-07   2.109107e-06   2.140006e-06   8.025182e+01 
  1.400000e+01   5.913023e-08  -2.316900e-06   2.317654e-06  -8.853805e+01 
  1.600000e+01   4.277064e-07  -4.307120e-06   4.328304e-06  -8.432899e+01 
  1.800000e+01   3.096700e-06  -1.434830e-06   3.412959e-06  -2.486025e+01 
  2.000000e+01   6.740478e-06   4.328661e-06   8.010702e-06   3.270813e+01 
  2.200000e+01   8.863000e-06   1.264623e-05   1.544279e-05   5.497564e+01 
  2.400000e+01   7.070569e-06   1.343855e-05   1.518511e-05   6.224931e+01 
  2.600000e+01   2.462339e-06   3.920162e-06   4.629339e-06   5.786618e+01 
  2.800000e+01  -1.378033e-06  -2.304889e-06   2.685421e-06  -1.208741e+02 
  3.000000e+01  -3.198403e-06  -1.189863e-06   3.412558e-06  -1.595939e+02 
  3.200000e+01  -4.058492e-06   7.449505e-07   4.126295e-06   1.695989e+02 
  3.400000e+01  -5.547465e-06   1.122524e-06   5.659896e-06   1.685607e+02 
  3.600000e+01  -6.621980e-06   8.735125e-07   6.679345e-06   1.724854e+02 
  3.800000e+01  -4.916438e-06   4.738459e-07   4.939220e-06   1.744948e+02 
  4.000000e+01  -1.854866e-06   1.062156e-07   1.857904e-06   1.767226e+02 
  4.200000e+01  -4.955179e-09   8.020746e-08   8.036037e-08   9.353521e+01 
