Input File: 0308-03.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -3.524263e-05   4.080020e-08   3.524265e-05   1.799337e+02 
  2.000000e+00  -2.610201e-05  -7.357193e-06   2.711905e-05  -1.642588e+02 
  4.000000e+00  -1.026846e-05  -7.591378e-06   1.276990e-05  -1.435248e+02 
  6.000000e+00  -1.366832e-06  -2.130781e-06   2.531493e-06  -1.226789e+02 
  8.000000e+00  -7.925410e-07   4.831379e-06   4.895951e-06   9.931584e+01 
  1.000000e+01  -4.032537e-06   9.410191e-06   1.023782e-05   1.131965e+02 
  1.200000e+01  -4.741041e-06   8.126419e-06   9.408303e-06   1.202598e+02 
  1.400000e+01  -2.273583e-06   2.687282e-06   3.520037e-06   1.302330e+02 
  1.600000e+01   1.355413e-06  -1.849731e-06   2.293175e-06  -5.376744e+01 
  1.800000e+01   4.891001e-06  -1.276624e-06   5.054865e-06  -1.462866e+01 
  2.000000e+01   5.696880e-06   6.290497e-06   8.486742e-06   4.783498e+01 
  2.200000e+01   2.944297e-06   1.541563e-05   1.569428e-05   7.918705e+01 
  2.400000e+01  -5.946468e-07   1.523896e-05   1.525056e-05   9.223463e+01 
  2.600000e+01  -2.080099e-06   6.157467e-06   6.499324e-06   1.086659e+02 
  2.800000e+01  -5.358382e-07  -7.737312e-07   9.411602e-07  -1.247041e+02 
  3.000000e+01   2.638856e-06  -2.957810e-06   3.963863e-06  -4.826176e+01 
  3.200000e+01   3.433183e-06  -3.118994e-06   4.638413e-06  -4.225467e+01 
  3.400000e+01   8.136983e-07  -1.121603e-06   1.385676e-06  -5.403995e+01 
  3.600000e+01  -1.192174e-06   1.298656e-06   1.762891e-06   1.325521e+02 
  3.800000e+01   4.986406e-07   2.167428e-06   2.224047e-06   7.704391e+01 
  4.000000e+01   4.094275e-06   2.268619e-06   4.680782e-06   2.899064e+01 
  4.200000e+01   5.870827e-06   2.892670e-06   6.544780e-06   2.623036e+01 
  4.400000e+01   4.791621e-06   3.219094e-06   5.772538e-06   3.389389e+01 
  4.600000e+01   2.677233e-06   2.111334e-06   3.409590e-06   3.826021e+01 
  4.800000e+01   6.862037e-07   1.016323e-06   1.226291e-06   5.597347e+01 
  5.000000e+01  -8.276393e-07   1.455040e-06   1.673956e-06   1.196316e+02 
  5.200000e+01  -1.405433e-06   2.238754e-06   2.643343e-06   1.221196e+02 
  5.400000e+01  -2.110514e-06   1.263746e-06   2.459944e-06   1.490874e+02 
  5.600000e+01  -7.779351e-06  -2.000437e-06   8.032437e-06  -1.655790e+02 
  5.800000e+01  -2.239107e-05  -8.290896e-06   2.387674e-05  -1.596816e+02 
  6.000000e+01  -3.153824e-05  -1.291375e-05   3.407969e-05  -1.577327e+02 
  6.200000e+01  -2.078359e-05  -9.358286e-06   2.279331e-05  -1.557592e+02 
  6.400000e+01  -5.280225e-06  -2.623186e-06   5.895921e-06  -1.535821e+02 
  6.600000e+01   1.164224e-07   8.752455e-07   8.829546e-07   8.242317e+01 
  6.800000e+01   2.455000e-07   1.670455e-06   1.688398e-06   8.163931e+01 
  7.000000e+01   5.298855e-07   1.104640e-06   1.225156e-06   6.437340e+01 
  7.200000e+01   1.067701e-06   2.398099e-07   1.094301e-06   1.265878e+01 
  7.400000e+01   9.354938e-07  -5.055907e-08   9.368591e-07  -3.093560e+00 
  7.600000e+01   4.726635e-07  -5.826956e-07   7.502966e-07  -5.095217e+01 
  7.800000e+01   2.980840e-07  -1.856237e-06   1.880019e-06  -8.087704e+01 
  8.000000e+01   5.929763e-08  -2.585380e-06   2.586060e-06  -8.868610e+01 
  8.200000e+01  -4.140491e-07  -1.788478e-06   1.835780e-06  -1.030349e+02 
  8.400000e+01  -7.904948e-07  -8.923088e-07   1.192098e-06  -1.315377e+02 
  8.600000e+01  -1.997482e-07  -1.297264e-06   1.312552e-06  -9.875345e+01 
  8.800000e+01   1.270400e-06  -1.666380e-06   2.095409e-06  -5.267914e+01 
  9.000000e+01   2.252802e-06  -1.334401e-06   2.618347e-06  -3.063950e+01 
  9.200000e+01   1.773608e-06  -1.182779e-06   2.131819e-06  -3.369843e+01 
  9.400000e+01   6.171669e-07  -1.283309e-06   1.424000e-06  -6.431623e+01 
  9.600000e+01   3.549202e-07  -1.304271e-06   1.351699e-06  -7.477718e+01 
  9.800000e+01   5.907420e-07  -1.236072e-06   1.369982e-06  -6.445599e+01 
  1.000000e+02   1.994661e-07  -5.914922e-07   6.242192e-07  -7.136459e+01 
  1.020000e+02  -5.785095e-08   1.643026e-07   1.741898e-07   1.093972e+02 
  1.040000e+02   8.402749e-07   2.377673e-08   8.406113e-07   1.620830e+00 
  1.060000e+02   1.713691e-06  -5.335389e-07   1.794826e-06  -1.729341e+01 
  1.080000e+02   1.608880e-06  -1.691167e-07   1.617744e-06  -6.000584e+00 
  1.100000e+02   1.131260e-06   9.064348e-07   1.449611e-06   3.870385e+01 
  1.120000e+02   7.038818e-07   9.424901e-07   1.176324e-06   5.324644e+01 
  1.140000e+02   9.590186e-08   3.109073e-07   3.253621e-07   7.285719e+01 
  1.160000e+02  -1.499580e-07   1.964340e-07   2.471310e-07   1.273582e+02 
  1.180000e+02   3.309761e-07   8.351854e-08   3.413510e-07   1.416236e+01 
  1.200000e+02   4.049154e-07  -3.878189e-07   5.606781e-07  -4.376452e+01 
  1.220000e+02   2.050297e-07  -1.997814e-07   2.862687e-07  -4.425721e+01 
  1.240000e+02   4.035199e-07   4.759968e-07   6.240203e-07   4.971083e+01 
  1.260000e+02   5.250144e-07   1.846261e-07   5.565311e-07   1.937468e+01 
  1.280000e+02   3.266022e-07  -5.011476e-07   5.981788e-07  -5.690737e+01 
  1.300000e+02   5.201500e-07  -6.019645e-07   7.955610e-07  -4.917011e+01 
  1.320000e+02   9.279885e-07  -5.634865e-07   1.085670e-06  -3.126666e+01 
  1.340000e+02   7.470335e-07  -7.186259e-07   1.036572e-06  -4.388963e+01 
  1.360000e+02   5.450996e-07  -5.764670e-07   7.933775e-07  -4.660200e+01 
  1.380000e+02   5.240089e-07  -8.469746e-07   9.959675e-07  -5.825562e+01 
  1.400000e+02  -8.937594e-08  -1.725657e-06   1.727970e-06  -9.296483e+01 
  1.420000e+02   2.555741e-06  -2.170768e-06   3.353214e-06  -4.034354e+01 
  1.440000e+02   1.715212e-05   4.904281e-06   1.783948e-05   1.595675e+01 
  1.460000e+02   2.939292e-05   2.637185e-05   3.948947e-05   4.189901e+01 
  1.480000e+02   1.724432e-05   3.798185e-05   4.171316e-05   6.558125e+01 
  1.500000e+02  -8.693212e-08   2.195601e-05   2.195619e-05   9.022685e+01 
  1.520000e+02  -2.755878e-06   4.535544e-06   5.307167e-06   1.212836e+02 
  1.540000e+02  -7.765029e-07   4.179512e-07   8.818389e-07   1.517087e+02 
  1.560000e+02  -1.533182e-07  -2.941356e-07   3.316960e-07  -1.175308e+02 
  1.580000e+02  -1.021266e-07  -1.215649e-06   1.219931e-06  -9.480213e+01 
  1.600000e+02  -2.713508e-07  -1.120492e-06   1.152881e-06  -1.036133e+02 
  1.620000e+02   6.568881e-07  -4.698456e-07   8.076242e-07  -3.557462e+01 
  1.640000e+02   1.624049e-06  -4.347854e-07   1.681241e-06  -1.498759e+01 
  1.660000e+02   1.837055e-06  -4.787155e-07   1.898405e-06  -1.460579e+01 
  1.680000e+02   1.581829e-06   3.398596e-07   1.617927e-06   1.212579e+01 
  1.700000e+02   1.095626e-06   7.633677e-07   1.335338e-06   3.486651e+01 
  1.720000e+02   2.564405e-07   2.515118e-07   3.591935e-07   4.444407e+01 
  1.740000e+02  -8.740492e-08  -3.572433e-08   9.442377e-08  -1.577691e+02 
  1.760000e+02   6.034155e-07   1.293794e-06   1.427590e-06   6.499601e+01 
  1.780000e+02   1.745523e-06   3.984032e-06   4.349639e-06   6.634034e+01 
  1.800000e+02   2.309582e-06   5.692103e-06   6.142817e-06   6.791505e+01 
  1.820000e+02   1.497150e-06   3.895646e-06   4.173430e-06   6.897754e+01 
  1.840000e+02   4.511386e-07   8.123175e-07   9.291855e-07   6.095342e+01 
  1.860000e+02  -2.893137e-07  -5.679451e-07   6.373884e-07  -1.169945e+02 
