Input File: 0308-07.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -3.178615e-05   3.679866e-08   3.178617e-05   1.799337e+02 
  2.000000e+00  -1.701454e-05  -3.750204e-06   1.742294e-05  -1.675701e+02 
  4.000000e+00   1.256592e-06  -6.709206e-06   6.825867e-06  -7.939176e+01 
  6.000000e+00   3.579587e-06  -2.257710e-06   4.232103e-06  -3.224036e+01 
  8.000000e+00   4.443362e-07   1.282873e-06   1.357644e-06   7.089594e+01 
  1.000000e+01  -4.125372e-06   8.270600e-07   4.207460e-06   1.686635e+02 
  1.200000e+01  -4.359594e-06   2.303129e-06   4.930564e-06   1.521530e+02 
  1.400000e+01   1.533868e-06   1.555499e-06   2.184566e-06   4.540117e+01 
  1.600000e+01   4.347909e-06  -1.761162e-06   4.691056e-06  -2.205088e+01 
  1.800000e+01   3.923975e-06   5.147641e-07   3.957595e-06   7.473633e+00 
  2.000000e+01   8.583636e-06   7.159802e-06   1.117773e-05   3.983224e+01 
  2.200000e+01   1.351603e-05   1.041906e-05   1.706575e-05   3.762743e+01 
  2.400000e+01   9.720626e-06   9.097756e-06   1.331389e-05   4.310426e+01 
  2.600000e+01   2.868650e-06   5.207699e-06   5.945526e-06   6.115192e+01 
  2.800000e+01  -8.004814e-07   6.701036e-07   1.043939e-06   1.400664e+02 
  3.000000e+01  -2.650104e-06  -1.396580e-06   2.995578e-06  -1.522112e+02 
  3.200000e+01  -3.050195e-06  -1.068439e-06   3.231912e-06  -1.606954e+02 
  3.400000e+01  -2.361067e-06  -1.370912e-06   2.730208e-06  -1.498591e+02 
  3.600000e+01  -5.655841e-07  -1.888018e-06   1.970913e-06  -1.066764e+02 
  3.800000e+01   2.260912e-06  -1.113164e-06   2.520091e-06  -2.621341e+01 
  4.000000e+01   2.691813e-06  -9.980839e-07   2.870894e-06  -2.034402e+01 
  4.200000e+01  -2.113452e-08  -1.739477e-06   1.739605e-06  -9.069611e+01 
  4.400000e+01  -1.908274e-06  -8.423016e-07   2.085901e-06  -1.561836e+02 
  4.600000e+01  -1.210458e-06   1.343329e-06   1.808243e-06   1.320216e+02 
  4.800000e+01   7.974910e-07   2.054261e-06   2.203629e-06   6.878313e+01 
  5.000000e+01   2.293648e-06   1.306978e-06   2.639888e-06   2.967557e+01 
  5.200000e+01   1.931097e-06   8.988049e-07   2.130020e-06   2.495903e+01 
  5.400000e+01   5.477691e-07  -2.985516e-07   6.238462e-07  -2.859179e+01 
  5.600000e+01  -5.572852e-07  -6.869859e-06   6.892425e-06  -9.463770e+01 
  5.800000e+01  -1.255274e-06  -2.250664e-05   2.254162e-05  -9.319227e+01 
  6.000000e+01  -1.583174e-06  -3.334138e-05   3.337895e-05  -9.271857e+01 
  6.200000e+01  -1.348794e-06  -2.314580e-05   2.318507e-05  -9.333507e+01 
  6.400000e+01  -2.163560e-08  -6.387203e-06   6.387240e-06  -9.019408e+01 
  6.600000e+01   1.644674e-06  -3.803023e-07   1.688070e-06  -1.301982e+01 
  6.800000e+01   9.730970e-07  -8.549495e-07   1.295321e-06  -4.130209e+01 
  7.000000e+01  -1.260623e-06  -1.584381e-06   2.024706e-06  -1.285077e+02 
  7.200000e+01  -1.366298e-06  -1.534284e-06   2.054458e-06  -1.316854e+02 
  7.400000e+01   3.617681e-08  -4.831230e-07   4.844755e-07  -8.571761e+01 
  7.600000e+01   6.742919e-07   7.967018e-07   1.043745e-06   4.975695e+01 
  7.800000e+01   6.734771e-07   1.013008e-06   1.216452e-06   5.638287e+01 
  8.000000e+01   2.852121e-07   6.631942e-07   7.219227e-07   6.672948e+01 
  8.200000e+01  -5.869740e-07   1.181883e-06   1.319616e-06   1.164110e+02 
  8.400000e+01  -1.234591e-06   2.322428e-06   2.630188e-06   1.179949e+02 
  8.600000e+01  -1.088227e-06   2.839030e-06   3.040449e-06   1.109723e+02 
  8.800000e+01  -2.020379e-07   2.494689e-06   2.502857e-06   9.463011e+01 
  9.000000e+01   1.083329e-06   1.473600e-06   1.828961e-06   5.367822e+01 
  9.200000e+01   2.066769e-06  -1.560091e-07   2.072648e-06  -4.316761e+00 
  9.400000e+01   1.705778e-06  -1.282637e-06   2.134206e-06  -3.694086e+01 
  9.600000e+01   5.959683e-07  -1.072829e-06   1.227249e-06  -6.094733e+01 
  9.800000e+01   3.244737e-07  -6.193084e-07   6.991610e-07  -6.234865e+01 
  1.000000e+02   4.125873e-07  -8.083026e-07   9.075138e-07  -6.295856e+01 
  1.020000e+02   1.527365e-07  -6.635947e-08   1.665293e-07  -2.348351e+01 
  1.040000e+02   2.621499e-07   1.074796e-06   1.106304e-06   7.629281e+01 
  1.060000e+02   8.576602e-07   5.063619e-07   9.959836e-07   3.055757e+01 
  1.080000e+02   8.427093e-07  -3.452411e-07   9.106867e-07  -2.227793e+01 
  1.100000e+02   4.108302e-07  -1.990752e-07   4.565220e-07  -2.585334e+01 
  1.120000e+02   5.275037e-08  -2.971003e-07   3.017469e-07  -7.993201e+01 
  1.140000e+02  -3.324968e-07  -7.897597e-07   8.568982e-07  -1.128316e+02 
  1.160000e+02  -4.833116e-07  -6.934827e-07   8.452859e-07  -1.248739e+02 
  1.180000e+02  -2.132557e-07  -5.251225e-07   5.667729e-07  -1.121024e+02 
  1.200000e+02  -2.846844e-07  -6.444892e-07   7.045648e-07  -1.138320e+02 
  1.220000e+02  -9.482528e-07  -3.773740e-07   1.020585e-06  -1.582990e+02 
  1.240000e+02  -1.122069e-06  -4.668289e-10   1.122069e-06  -1.799762e+02 
  1.260000e+02  -6.009402e-07  -2.605765e-07   6.550032e-07  -1.565577e+02 
  1.280000e+02  -4.378972e-07  -2.627616e-07   5.106834e-07  -1.490340e+02 
  1.300000e+02  -2.704654e-07   1.755219e-07   3.224275e-07   1.470179e+02 
  1.320000e+02   8.952271e-08   5.722693e-08   1.062508e-07   3.258854e+01 
  1.340000e+02  -2.682062e-07  -2.165150e-07   3.446931e-07  -1.410871e+02 
  1.360000e+02   7.544725e-08   2.695976e-07   2.799557e-07   7.436565e+01 
  1.380000e+02   7.778073e-07   1.672392e-07   7.955836e-07   1.213463e+01 
  1.400000e+02  -5.741603e-07  -4.539756e-08   5.759522e-07  -1.754791e+02 
  1.420000e+02   8.029328e-07  -9.404504e-06   9.438718e-06  -8.512006e+01 
  1.440000e+02   4.102717e-05  -4.906394e-05   6.395701e-05  -5.009769e+01 
  1.460000e+02   1.310591e-04  -6.973069e-05   1.484549e-04  -2.801544e+01 
  1.480000e+02   1.570809e-04  -1.783491e-05   1.580901e-04  -6.477604e+00 
  1.500000e+02   7.384999e-05   2.390048e-05   7.762122e-05   1.793342e+01 
  1.520000e+02   6.213182e-06   1.228852e-05   1.376994e-05   6.317843e+01 
  1.540000e+02  -2.501505e-06   8.364106e-07   2.637634e-06   1.615120e+02 
  1.560000e+02  -8.639849e-08  -4.918788e-07   4.994091e-07  -9.996236e+01 
  1.580000e+02  -6.303536e-07  -4.258412e-07   7.607144e-07  -1.459586e+02 
  1.600000e+02  -3.455355e-07   6.601148e-07   7.450815e-07   1.176297e+02 
  1.620000e+02  -1.662528e-07   8.902495e-07   9.056402e-07   1.005781e+02 
  1.640000e+02  -9.823433e-07   9.515734e-07   1.367659e-06   1.359115e+02 
  1.660000e+02  -3.235534e-07   9.145782e-07   9.701237e-07   1.094824e+02 
