Input File: 0308-11.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -7.440696e-05   8.614055e-08   7.440701e-05   1.799337e+02 
  2.000000e+00  -4.818952e-05  -1.718672e-06   4.822016e-05  -1.779574e+02 
  4.000000e+00  -1.181902e-05  -9.564618e-09   1.181902e-05  -1.799536e+02 
  6.000000e+00  -1.320781e-06   4.221210e-07   1.386596e-06   1.622761e+02 
  8.000000e+00   1.808604e-06  -3.512219e-06   3.950536e-06  -6.275396e+01 
  1.000000e+01   5.573805e-06  -7.710635e-06   9.514262e-06  -5.413787e+01 
  1.200000e+01   4.330047e-06  -8.827988e-06   9.832735e-06  -6.387247e+01 
  1.400000e+01   7.347946e-07  -7.399756e-06   7.436149e-06  -8.432912e+01 
  1.600000e+01  -3.240890e-07  -3.797675e-06   3.811479e-06  -9.487773e+01 
  1.800000e+01  -2.560308e-07  -1.605411e-07   3.022006e-07  -1.479107e+02 
  2.000000e+01  -1.812212e-06   1.072638e-06   2.105864e-06   1.493790e+02 
  2.200000e+01  -3.856845e-06   1.518657e-06   4.145066e-06   1.585076e+02 
  2.400000e+01  -3.411347e-06   2.136226e-06   4.025016e-06   1.479447e+02 
  2.600000e+01  -1.283117e-06   2.264017e-06   2.602337e-06   1.195421e+02 
  2.800000e+01  -3.115126e-07   2.362537e-06   2.382986e-06   9.751141e+01 
  3.000000e+01  -3.400192e-07   2.696007e-06   2.717364e-06   9.718816e+01 
  3.200000e+01  -4.057139e-07   2.436486e-06   2.470034e-06   9.945391e+01 
  3.400000e+01   2.343818e-07   2.501017e-07   3.427618e-07   4.685841e+01 
  3.600000e+01   1.179877e-06  -3.799438e-06   3.978421e-06  -7.274834e+01 
  3.800000e+01   7.880861e-07  -5.923098e-06   5.975297e-06  -8.242113e+01 
  4.000000e+01  -2.632303e-07  -3.041861e-06   3.053229e-06  -9.494582e+01 
  4.200000e+01  -3.901819e-07   8.699410e-07   9.534355e-07   1.141570e+02 
  4.400000e+01  -6.879198e-08   5.771237e-07   5.812091e-07   9.679746e+01 
  4.600000e+01   1.394388e-07  -1.507491e-06   1.513926e-06  -8.471533e+01 
  4.800000e+01   5.668532e-07  -1.014806e-06   1.162391e-06  -6.081301e+01 
  5.000000e+01   5.675932e-07   7.165270e-07   9.140969e-07   5.161567e+01 
  5.200000e+01  -2.192001e-07   1.338964e-06   1.356788e-06   9.929734e+01 
  5.400000e+01   5.232983e-08   7.559960e-07   7.578050e-07   8.604031e+01 
  5.600000e+01   6.697085e-06  -8.590823e-07   6.751961e-06  -7.309813e+00 
  5.800000e+01   2.368965e-05  -3.209575e-06   2.390609e-05  -7.715696e+00 
  6.000000e+01   3.454276e-05  -4.159640e-06   3.479231e-05  -6.866496e+00 
  6.200000e+01   2.229855e-05  -2.248350e-06   2.241161e-05  -5.757641e+00 
  6.400000e+01   4.363318e-06   4.006482e-07   4.381673e-06   5.246296e+00 
  6.600000e+01  -1.473211e-06   1.846494e-06   2.362179e-06   1.285844e+02 
  6.800000e+01  -1.336048e-06   1.534427e-06   2.034574e-06   1.310465e+02 
  7.000000e+01  -1.514611e-06   4.574531e-08   1.515302e-06   1.782700e+02 
  7.200000e+01  -1.138993e-06  -1.036448e-06   1.539977e-06  -1.376988e+02 
  7.400000e+01   1.669826e-07  -1.117271e-06   1.129681e-06  -8.149973e+01 
  7.600000e+01   1.041065e-06  -8.209179e-08   1.044297e-06  -4.508653e+00 
  7.800000e+01   9.073652e-07   1.687618e-06   1.916081e-06   6.173484e+01 
  8.000000e+01   4.052950e-07   2.568387e-06   2.600169e-06   8.103259e+01 
  8.200000e+01   3.314957e-07   1.607903e-06   1.641719e-06   7.835075e+01 
  8.400000e+01   8.221696e-07  -2.886183e-07   8.713572e-07  -1.934335e+01 
  8.600000e+01   1.151222e-06  -1.720876e-06   2.070441e-06  -5.621849e+01 
  8.800000e+01   8.418151e-07  -1.802453e-06   1.989344e-06  -6.496561e+01 
  9.000000e+01   5.170615e-07  -8.898170e-07   1.029139e-06  -5.983967e+01 
  9.200000e+01   1.010052e-06  -4.287207e-07   1.097272e-06  -2.299900e+01 
  9.400000e+01   1.747329e-06  -8.621187e-07   1.948437e-06  -2.626137e+01 
  9.600000e+01   1.462872e-06  -1.047583e-06   1.799284e-06  -3.560698e+01 
  9.800000e+01   6.130460e-07  -5.415316e-07   8.179742e-07  -4.145563e+01 
  1.000000e+02   4.115611e-07  -3.593160e-07   5.463428e-07  -4.112279e+01 
  1.020000e+02   5.611893e-07  -8.513874e-07   1.019703e-06  -5.660925e+01 
  1.040000e+02   1.540375e-07  -1.098378e-06   1.109126e-06  -8.201685e+01 
  1.060000e+02  -3.182562e-07  -7.123217e-07   7.801854e-07  -1.140745e+02 
  1.080000e+02   4.164325e-08  -7.070972e-08   8.206110e-08  -5.950478e+01 
  1.100000e+02   4.936095e-07   6.572480e-07   8.219642e-07   5.309254e+01 
  1.120000e+02  -5.172180e-08   1.026922e-06   1.028223e-06   9.288331e+01 
  1.140000e+02  -1.127351e-06   5.764824e-07   1.266196e-06   1.529166e+02 
  1.160000e+02  -1.831930e-06   7.930444e-08   1.833645e-06   1.775212e+02 
  1.180000e+02  -1.880481e-06   2.507657e-07   1.897128e-06   1.724043e+02 
  1.200000e+02  -1.161770e-06   3.144840e-07   1.203582e-06   1.648534e+02 
  1.220000e+02  -1.669092e-07  -2.476868e-07   2.986761e-07  -1.239749e+02 
  1.240000e+02   2.565571e-07  -7.670429e-07   8.088116e-07  -7.150617e+01 
  1.260000e+02   2.560394e-07  -7.002771e-07   7.456167e-07  -6.991628e+01 
  1.280000e+02   5.080576e-07  -4.428463e-08   5.099839e-07  -4.981572e+00 
  1.300000e+02   7.236329e-07   5.930460e-07   9.356004e-07   3.933598e+01 
  1.320000e+02   4.546783e-07   3.723975e-07   5.877179e-07   3.931868e+01 
  1.340000e+02   1.643481e-08  -1.528775e-07   1.537584e-07  -8.386408e+01 
  1.360000e+02  -2.881831e-07   9.727787e-08   3.041586e-07   1.613476e+02 
  1.380000e+02  -4.360096e-07   6.856943e-07   8.125767e-07   1.224509e+02 
  1.400000e+02  -6.789347e-07   6.394707e-07   9.326710e-07   1.367145e+02 
  1.420000e+02  -7.636310e-07   1.444201e-07   7.771675e-07   1.692905e+02 
  1.440000e+02  -1.438838e-07  -1.216827e-07   1.884389e-07  -1.397788e+02 
  1.460000e+02   7.738075e-07  -2.544330e-07   8.145639e-07  -1.820120e+01 
  1.480000e+02   1.276061e-06  -3.766009e-07   1.330474e-06  -1.644278e+01 
  1.500000e+02   1.060223e-06  -2.945202e-07   1.100371e-06  -1.552480e+01 
  1.520000e+02   3.966169e-07  -2.670583e-07   4.781476e-07  -3.395398e+01 
  1.540000e+02  -8.428729e-08  -3.820900e-07   3.912763e-07  -1.024399e+02 
  1.560000e+02  -1.029281e-07  -1.771943e-07   2.049196e-07  -1.201513e+02 
  1.580000e+02  -6.565177e-08   2.431720e-07   2.518785e-07   1.051085e+02 
  1.600000e+02  -2.240141e-07   3.934291e-07   4.527348e-07   1.196567e+02 
  1.620000e+02  -5.978817e-08   3.771200e-07   3.818299e-07   9.900863e+01 
  1.640000e+02   3.110098e-07   3.178414e-07   4.446912e-07   4.562241e+01 
  1.660000e+02   1.565088e-07   2.499075e-07   2.948707e-07   5.794244e+01 
  1.680000e+02  -3.608429e-07   3.282036e-07   4.877758e-07   1.377120e+02 
  1.700000e+02  -4.971421e-07   3.481630e-07   6.069331e-07   1.449953e+02 
  1.720000e+02  -9.627895e-08   2.664470e-07   2.833084e-07   1.098670e+02 
  1.740000e+02   2.344138e-07   3.611437e-07   4.305515e-07   5.701291e+01 
  1.760000e+02  -7.043948e-07   6.408034e-07   9.522610e-07   1.377065e+02 
  1.780000e+02  -3.578093e-06   1.300993e-06   3.807274e-06   1.600188e+02 
  1.800000e+02  -5.395998e-06   1.859302e-06   5.707346e-06   1.609875e+02 
  1.820000e+02  -3.381405e-06   1.230396e-06   3.598302e-06   1.600050e+02 
  1.840000e+02  -5.953077e-07   4.694714e-08   5.971560e-07   1.754909e+02 
  1.860000e+02   9.808904e-08  -4.484611e-07   4.590630e-07  -7.766235e+01 
  1.880000e+02  -1.858658e-07  -2.678651e-07   3.260335e-07  -1.247559e+02 
