Input File: 0308-04.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   1.910919e-05  -2.212261e-08   1.910921e-05  -6.633098e-02 
  2.000000e+00   1.123984e-05   9.952714e-07   1.128382e-05   5.060261e+00 
  4.000000e+00   1.035686e-06  -7.974135e-07   1.307101e-06  -3.759402e+01 
  6.000000e+00   6.001762e-07  -1.852910e-06   1.947687e-06  -7.205233e+01 
  8.000000e+00   2.492480e-06   2.480282e-07   2.504790e-06   5.682829e+00 
  1.000000e+01   3.006161e-06   3.116009e-06   4.329725e-06   4.602792e+01 
  1.200000e+01   6.180586e-06   3.636764e-06   7.171171e-06   3.047329e+01 
  1.400000e+01   9.106456e-06   2.999433e-06   9.587708e-06   1.823056e+01 
  1.600000e+01   7.404738e-06   2.815908e-06   7.922089e-06   2.082104e+01 
  1.800000e+01   5.550873e-06   4.382365e-06   7.072292e-06   3.829078e+01 
  2.000000e+01   9.251863e-06   1.022415e-05   1.378877e-05   4.785795e+01 
  2.200000e+01   1.213392e-05   1.713394e-05   2.099533e-05   5.469461e+01 
  2.400000e+01   6.454660e-06   1.595666e-05   1.721272e-05   6.797607e+01 
  2.600000e+01  -3.222776e-07   7.723832e-06   7.730552e-06   9.238928e+01 
  2.800000e+01  -1.262042e-06   2.841501e-06   3.109160e-06   1.139482e+02 
  3.000000e+01  -3.661663e-07   2.082079e-06   2.114032e-06   9.997436e+01 
  3.200000e+01  -1.715664e-07  -5.250343e-08   1.794202e-07  -1.629846e+02 
  3.400000e+01  -1.100366e-06  -2.611481e-06   2.833839e-06  -1.128485e+02 
  3.600000e+01  -3.285698e-06  -2.456948e-06   4.102732e-06  -1.432119e+02 
  3.800000e+01  -4.400840e-06  -9.768053e-07   4.507942e-06  -1.674856e+02 
  4.000000e+01  -4.068491e-06  -1.077039e-06   4.208638e-06  -1.651724e+02 
  4.200000e+01  -4.176686e-06  -1.958274e-06   4.612975e-06  -1.548801e+02 
  4.400000e+01  -4.660941e-06  -1.105685e-06   4.790293e-06  -1.666548e+02 
  4.600000e+01  -4.128036e-06   1.722262e-07   4.131628e-06   1.776109e+02 
  4.800000e+01  -2.753348e-06   6.486462e-08   2.754112e-06   1.786505e+02 
  5.000000e+01  -1.714744e-06   4.100497e-08   1.715234e-06   1.786301e+02 
  5.200000e+01  -6.494186e-07   2.726715e-07   7.043396e-07   1.572239e+02 
  5.400000e+01   1.356452e-07  -5.879142e-07   6.033595e-07  -7.700790e+01 
  5.600000e+01  -2.531315e-06  -5.473506e-06   6.030491e-06  -1.148190e+02 
  5.800000e+01  -9.514580e-06  -1.849787e-05   2.080141e-05  -1.172195e+02 
  6.000000e+01  -1.322549e-05  -2.790660e-05   3.088190e-05  -1.153572e+02 
  6.200000e+01  -8.377358e-06  -1.980300e-05   2.150207e-05  -1.129300e+02 
  6.400000e+01  -1.488131e-06  -6.412433e-06   6.582844e-06  -1.030653e+02 
  6.600000e+01   1.871399e-06  -1.399694e-06   2.336938e-06  -3.679427e+01 
  6.800000e+01   2.890194e-06  -1.247040e-06   3.147750e-06  -2.333888e+01 
  7.000000e+01   2.836643e-06  -9.765077e-07   3.000019e-06  -1.899590e+01 
  7.200000e+01   2.488364e-06  -8.621243e-07   2.633480e-06  -1.910927e+01 
