Input File: 0308-17.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 1.6 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00  -1.369383e-04   1.585328e-07   1.369384e-04   1.799337e+02 
  2.000000e+00  -9.185511e-05  -4.514269e-07   9.185621e-05  -1.797184e+02 
  4.000000e+00  -2.315771e-05  -6.601601e-06   2.408030e-05  -1.640887e+02 
  6.000000e+00   3.599405e-06  -1.008158e-05   1.070486e-05  -7.035202e+01 
  8.000000e+00   7.649803e-06  -1.010817e-05   1.267654e-05  -5.288179e+01 
  1.000000e+01   7.194909e-06  -1.057785e-05   1.279288e-05  -5.577700e+01 
  1.200000e+01   2.007924e-06  -1.144066e-05   1.161553e-05  -8.004553e+01 
  1.400000e+01  -3.625004e-06  -1.121340e-05   1.178477e-05  -1.079147e+02 
  1.600000e+01  -3.584185e-06  -6.975983e-06   7.842877e-06  -1.171936e+02 
  1.800000e+01   4.411440e-07   3.653825e-07   5.728110e-07   3.963364e+01 
  2.000000e+01   3.070299e-06   6.356450e-06   7.059121e-06   6.421848e+01 
  2.200000e+01   2.788923e-06   8.316491e-06   8.771665e-06   7.146120e+01 
  2.400000e+01   7.919448e-07   5.607102e-06   5.662753e-06   8.196074e+01 
  2.600000e+01  -1.561913e-06   6.408182e-07   1.688260e-06   1.576927e+02 
  2.800000e+01  -3.104765e-06  -3.033800e-06   4.340911e-06  -1.356623e+02 
  3.000000e+01  -2.351159e-06  -3.648501e-06   4.340450e-06  -1.227984e+02 
  3.200000e+01   4.576016e-07  -1.424667e-06   1.496354e-06  -7.219303e+01 
  3.400000e+01   2.554926e-06   5.343902e-07   2.610215e-06   1.181371e+01 
  3.600000e+01   3.128182e-06   1.666043e-07   3.132615e-06   3.048644e+00 
  3.800000e+01   3.068986e-06  -7.245729e-07   3.153360e-06  -1.328401e+01 
  4.000000e+01   2.827956e-06  -1.085968e-06   3.029300e-06  -2.100737e+01 
  4.200000e+01   2.893356e-06  -1.279436e-06   3.163616e-06  -2.385491e+01 
  4.400000e+01   2.687953e-06  -5.303054e-07   2.739766e-06  -1.116053e+01 
  4.600000e+01   2.040182e-06   1.173386e-06   2.353546e-06   2.990484e+01 
  4.800000e+01   1.712014e-06   2.855422e-06   3.329328e-06   5.905453e+01 
  5.000000e+01   1.742595e-06   3.898760e-06   4.270476e-06   6.591721e+01 
  5.200000e+01   2.409829e-06   3.426598e-06   4.189135e-06   5.488236e+01 
  5.400000e+01   4.277627e-06   1.715168e-06   4.608676e-06   2.184894e+01 
  5.600000e+01   1.070224e-05   9.609819e-07   1.074530e-05   5.130977e+00 
  5.800000e+01   2.523387e-05   2.787176e-06   2.538733e-05   6.302985e+00 
  6.000000e+01   3.377484e-05   4.695968e-06   3.409974e-05   7.915514e+00 
  6.200000e+01   2.237281e-05   2.944426e-06   2.256573e-05   7.497457e+00 
  6.400000e+01   5.947780e-06  -4.934789e-07   5.968217e-06  -4.742887e+00 
  6.600000e+01  -7.366012e-07  -1.823372e-06   1.966537e-06  -1.119976e+02 
  6.800000e+01  -1.195709e-06  -1.617330e-06   2.011336e-06  -1.264759e+02 
  7.000000e+01  -6.897132e-07  -1.359591e-06   1.524530e-06  -1.168984e+02 
  7.200000e+01  -9.335879e-08  -7.265398e-07   7.325135e-07  -9.732225e+01 
  7.400000e+01   1.409716e-06   1.829312e-07   1.421536e-06   7.393647e+00 
  7.600000e+01   2.267130e-06   8.756812e-07   2.430369e-06   2.111910e+01 
  7.800000e+01   1.202963e-06   1.842348e-06   2.200311e-06   5.685742e+01 
  8.000000e+01   2.481705e-07   2.554178e-06   2.566206e-06   8.445041e+01 
  8.200000e+01   1.284527e-07   1.415142e-06   1.420960e-06   8.481346e+01 
  8.400000e+01   4.650549e-08  -5.650771e-07   5.669875e-07  -8.529520e+01 
  8.600000e+01   7.107120e-07  -1.411394e-06   1.580236e-06  -6.327232e+01 
  8.800000e+01   1.436483e-06  -1.572399e-06   2.129771e-06  -4.758638e+01 
  9.000000e+01   7.310345e-07  -1.293813e-06   1.486056e-06  -6.053253e+01 
  9.200000e+01   2.321927e-07  -5.001738e-07   5.514411e-07  -6.509814e+01 
  9.400000e+01   9.582282e-07  -1.916630e-07   9.772082e-07  -1.131093e+01 
  9.600000e+01   8.634589e-07  -5.219444e-08   8.650350e-07  -3.459211e+00 
  9.800000e+01  -2.080499e-07   6.945085e-07   7.250013e-07   1.066763e+02 
  1.000000e+02  -3.598222e-07   8.601355e-07   9.323653e-07   1.127011e+02 
  1.020000e+02   8.349366e-08   1.654908e-07   1.853602e-07   6.322808e+01 
  1.040000e+02  -4.375503e-07   1.678680e-07   4.686469e-07   1.590105e+02 
  1.060000e+02  -8.670536e-07   4.459847e-07   9.750305e-07   1.527802e+02 
  1.080000e+02  -1.205548e-07   7.100145e-09   1.207637e-07   1.766294e+02 
  1.100000e+02   5.022232e-07  -7.702496e-07   9.195176e-07  -5.689458e+01 
  1.120000e+02   8.157795e-07  -1.349545e-06   1.576949e-06  -5.884768e+01 
  1.140000e+02   9.240988e-07  -1.343103e-06   1.630302e-06  -5.547075e+01 
  1.160000e+02   2.923586e-07  -1.068333e-06   1.107614e-06  -7.469521e+01 
  1.180000e+02  -1.829248e-07  -1.028419e-06   1.044561e-06  -1.000857e+02 
  1.200000e+02   2.081305e-07  -1.089522e-06   1.109224e-06  -7.918513e+01 
  1.220000e+02   6.279845e-07  -8.808033e-07   1.081748e-06  -5.451235e+01 
  1.240000e+02   4.034824e-07  -6.455468e-07   7.612679e-07  -5.799362e+01 
  1.260000e+02   1.703698e-07  -6.925822e-07   7.132292e-07  -7.618008e+01 
  1.280000e+02   3.602782e-07  -5.849280e-07   6.869797e-07  -5.836958e+01 
  1.300000e+02   3.325353e-07  -2.277089e-08   3.333141e-07  -3.917304e+00 
  1.320000e+02  -1.087558e-07   1.056868e-07   1.516494e-07   1.358199e+02 
  1.340000e+02  -7.039417e-07  -3.837066e-07   8.017261e-07  -1.514059e+02 
  1.360000e+02  -1.589372e-06  -7.354461e-07   1.751280e-06  -1.551687e+02 
  1.380000e+02  -1.970070e-06  -1.068034e-06   2.240953e-06  -1.515365e+02 
  1.400000e+02  -1.245156e-06  -9.901314e-07   1.590841e-06  -1.415087e+02 
  1.420000e+02  -1.103519e-06  -1.016043e-06   1.500033e-06  -1.373633e+02 
  1.440000e+02   3.563401e-07  -9.297950e-06   9.304776e-06  -8.780523e+01 
  1.460000e+02   1.387146e-05  -2.529285e-05   2.884693e-05  -6.125812e+01 
  1.480000e+02   3.003576e-05  -2.576880e-05   3.957497e-05  -4.062752e+01 
  1.500000e+02   2.361410e-05  -1.015433e-05   2.570479e-05  -2.326824e+01 
  1.520000e+02   6.670702e-06  -1.425607e-06   6.821335e-06  -1.206331e+01 
  1.540000e+02   4.947757e-07  -8.293031e-07   9.656845e-07  -5.917901e+01 
  1.560000e+02  -2.294721e-07  -1.492402e-06   1.509940e-06  -9.874135e+01 
  1.580000e+02  -1.206754e-06  -1.742800e-06   2.119813e-06  -1.246996e+02 
  1.600000e+02  -1.367014e-06  -1.169062e-06   1.798732e-06  -1.394631e+02 
  1.620000e+02  -1.008103e-06  -8.718618e-07   1.332822e-06  -1.391450e+02 
  1.640000e+02  -9.610376e-07  -8.138461e-07   1.259341e-06  -1.397407e+02 
  1.660000e+02  -5.206365e-07  -7.091730e-07   8.797663e-07  -1.262841e+02 
  1.680000e+02   2.314092e-07  -9.311974e-07   9.595201e-07  -7.604428e+01 
  1.700000e+02   5.151833e-07  -1.165060e-06   1.273883e-06  -6.614523e+01 
  1.720000e+02   7.725311e-07  -7.744311e-07   1.093868e-06  -4.507037e+01 
  1.740000e+02   1.203302e-06  -4.958997e-07   1.301480e-06  -2.239734e+01 
  1.760000e+02   1.936256e-07  -1.075041e-06   1.092339e-06  -7.978992e+01 
  1.780000e+02  -2.667795e-06  -2.584629e-06   3.714490e-06  -1.359071e+02 
  1.800000e+02  -4.201457e-06  -4.111405e-06   5.878426e-06  -1.356206e+02 
  1.820000e+02  -2.900854e-06  -3.664836e-06   4.673968e-06  -1.283629e+02 
  1.840000e+02  -1.116846e-06  -1.311633e-06   1.722709e-06  -1.304141e+02 
  1.860000e+02   1.296279e-07   2.711647e-07   3.005557e-07   6.445028e+01 
  1.880000e+02   7.169754e-07   2.066719e-07   7.461682e-07   1.607990e+01 
  1.900000e+02   4.441192e-07   1.242380e-07   4.611691e-07   1.562844e+01 
  1.920000e+02   4.292902e-07   6.948269e-07   8.167463e-07   5.829067e+01 
  1.940000e+02   5.278901e-07   9.316246e-07   1.070791e-06   6.046264e+01 
  1.960000e+02  -2.513845e-07   5.665977e-07   6.198606e-07   1.139256e+02 
  1.980000e+02  -8.363104e-07   4.105366e-07   9.316412e-07   1.538540e+02 
  2.000000e+02  -3.545133e-07   3.605013e-07   5.056094e-07   1.345202e+02 
  2.020000e+02   8.259241e-08  -2.171420e-08   8.539914e-08  -1.473017e+01 
  2.040000e+02   2.885780e-07  -1.217541e-07   3.132113e-07  -2.287539e+01 
  2.060000e+02   6.360272e-07  -1.022855e-07   6.441994e-07  -9.136047e+00 
  2.080000e+02   5.173284e-07  -6.859200e-07   8.591362e-07  -5.297600e+01 
  2.100000e+02  -4.244643e-08  -1.018298e-06   1.019182e-06  -9.238692e+01 
  2.120000e+02  -8.763147e-08  -9.381504e-07   9.422343e-07  -9.533644e+01 
  2.140000e+02   2.041297e-07  -8.214825e-07   8.464647e-07  -7.604524e+01 
  2.160000e+02  -4.497219e-08  -2.874270e-07   2.909240e-07  -9.889266e+01 
  2.180000e+02  -7.532087e-08   3.161169e-07   3.249663e-07   1.034019e+02 
  2.200000e+02   2.425259e-07   1.248440e-07   2.727725e-07   2.723785e+01 
  2.220000e+02  -1.767100e-08  -2.999076e-07   3.004277e-07  -9.337205e+01 
  2.240000e+02  -4.478591e-07   3.843145e-08   4.495050e-07   1.750954e+02 
  2.260000e+02  -1.066098e-07   2.256839e-07   2.495975e-07   1.152854e+02 
  2.280000e+02   3.545415e-07  -2.430486e-07   4.298515e-07  -3.443177e+01 
  2.300000e+02   3.182060e-07  -3.127376e-07   4.461612e-07  -4.450342e+01 
  2.320000e+02   4.329906e-07   7.165004e-08   4.388788e-07   9.395994e+00 
  2.340000e+02   3.986143e-07   5.036902e-09   3.986461e-07   7.239527e-01 
  2.360000e+02  -2.234659e-07   8.136220e-09   2.236139e-07   1.779148e+02 
  2.380000e+02  -4.549595e-07   3.706921e-07   5.868567e-07   1.408275e+02 
  2.400000e+02  -1.693418e-08   2.239106e-07   2.245501e-07   9.432500e+01 
  2.420000e+02   1.185507e-08  -5.401991e-08   5.530546e-08  -7.762224e+01 
  2.440000e+02   8.269897e-08   1.544123e-07   1.751636e-07   6.182772e+01 
  2.460000e+02   5.685961e-07   4.212939e-07   7.076652e-07   3.653611e+01 
  2.480000e+02   2.328136e-07   4.027773e-07   4.652223e-07   5.997120e+01 
  2.500000e+02  -5.416429e-07   6.694303e-07   8.611120e-07   1.289767e+02 
  2.520000e+02  -5.012463e-07   7.795126e-07   9.267620e-07   1.227420e+02 
  2.540000e+02  -2.723254e-08   9.064742e-08   9.464970e-08   1.067215e+02 
  2.560000e+02  -7.898218e-09  -3.739824e-07   3.740658e-07  -9.120985e+01 
  2.580000e+02  -2.209828e-08  -3.793368e-07   3.799799e-07  -9.333400e+01 
  2.600000e+02  -3.003247e-08  -5.351822e-07   5.360242e-07  -9.321185e+01 
  2.620000e+02  -4.378782e-07  -5.878953e-07   7.330472e-07  -1.266796e+02 
  2.640000e+02  -2.076195e-07  -4.071407e-07   4.570223e-07  -1.170191e+02 
  2.660000e+02   5.607347e-07  -6.462867e-07   8.556342e-07  -4.905426e+01 
  2.680000e+02   5.898596e-07  -1.075941e-06   1.227022e-06  -6.126727e+01 
  2.700000e+02   2.856358e-07  -4.548330e-07   5.370856e-07  -5.787111e+01 
  2.720000e+02   3.007990e-07   2.738930e-07   4.068137e-07   4.231947e+01 
  2.740000e+02   1.430568e-07   1.926729e-08   1.443484e-07   7.670597e+00 
  2.760000e+02  -4.291347e-07  -1.286735e-07   4.480106e-07  -1.633089e+02 
  2.780000e+02  -3.315553e-07  -2.488329e-08   3.324877e-07  -1.757080e+02 
  2.800000e+02  -6.769058e-08  -1.916860e-07   2.032868e-07  -1.094498e+02 
  2.820000e+02  -5.558866e-07  -2.126009e-07   5.951546e-07  -1.590704e+02 
  2.840000e+02  -3.655661e-07   1.862807e-07   4.102914e-07   1.529981e+02 
  2.860000e+02   3.104427e-07  -3.412848e-08   3.123130e-07  -6.273612e+00 
  2.880000e+02   1.093070e-08  -8.258451e-07   8.259174e-07  -8.924168e+01 
  2.900000e+02  -2.773012e-07  -6.623248e-07   7.180321e-07  -1.127180e+02 
  2.920000e+02   3.701121e-07  -2.740502e-07   4.605285e-07  -3.651816e+01 
  2.940000e+02   6.104196e-07  -4.528742e-07   7.600705e-07  -3.657195e+01 
  2.960000e+02   1.787289e-07   3.218076e-07   3.681089e-07   6.095262e+01 
  2.980000e+02   4.223575e-07   1.773589e-06   1.823185e-06   7.660522e+01 
  3.000000e+02   5.419819e-07   2.040057e-06   2.110824e-06   7.512191e+01 
  3.020000e+02  -3.800481e-07   1.481324e-06   1.529300e-06   1.043894e+02 
  3.040000e+02  -5.865893e-07   1.132912e-06   1.275765e-06   1.173738e+02 
  3.060000e+02  -1.826740e-07   6.876860e-07   7.115348e-07   1.048763e+02 
  3.080000e+02  -3.820782e-07   3.453641e-07   5.150341e-07   1.378893e+02 
  3.100000e+02  -4.253253e-07   4.407298e-07   6.124903e-07   1.339810e+02 
  3.120000e+02   1.173084e-08  -2.677319e-07   2.679888e-07  -8.749115e+01 
  3.140000e+02  -1.181268e-07  -1.187641e-06   1.193501e-06  -9.568015e+01 
  3.160000e+02  -4.004346e-07  -1.040129e-06   1.114547e-06  -1.110560e+02 
  3.180000e+02   1.897813e-07  -5.860384e-07   6.160016e-07  -7.205609e+01 
  3.200000e+02   3.016490e-07  -7.717186e-07   8.285781e-07  -6.865049e+01 
  3.220000e+02  -1.285350e-07  -4.679183e-07   4.852513e-07  -1.053600e+02 
  3.240000e+02   1.234098e-07   1.415909e-07   1.878242e-07   4.892477e+01 
  3.260000e+02   6.845092e-07  -3.584116e-07   7.726653e-07  -2.763672e+01 
  3.280000e+02   8.395602e-08  -4.515202e-07   4.592593e-07  -7.946667e+01 
  3.300000e+02  -2.301966e-07   1.697280e-07   2.860036e-07   1.435980e+02 
  3.320000e+02   4.077883e-07   2.173296e-07   4.620860e-07   2.805525e+01 
  3.340000e+02  -1.815412e-07  -2.189835e-07   2.844486e-07  -1.296593e+02 
  3.360000e+02  -7.415733e-07   3.834569e-07   8.348474e-07   1.526572e+02 
  3.380000e+02  -3.730870e-07   7.188544e-07   8.099047e-07   1.174294e+02 
  3.400000e+02  -3.569237e-07  -1.655032e-07   3.934283e-07  -1.551231e+02 
  3.420000e+02  -8.852149e-07   2.501416e-07   9.198783e-07   1.642209e+02 
  3.440000e+02  -4.058737e-07   7.267151e-07   8.323751e-07   1.191835e+02 
  3.460000e+02   1.454989e-08  -1.516311e-07   1.523275e-07  -8.451891e+01 
  3.480000e+02  -9.286435e-07  -5.212996e-07   1.064956e-06  -1.506920e+02 
  3.500000e+02  -4.446029e-07   3.394772e-07   5.593894e-07   1.426364e+02 
  3.520000e+02   6.354297e-07   4.391314e-07   7.724036e-07   3.464749e+01 
  3.540000e+02  -7.298935e-08  -4.458867e-08   8.553125e-08  -1.485795e+02 
  3.560000e+02  -3.564205e-07   5.907067e-07   6.899057e-07   1.211059e+02 
  3.580000e+02   5.296703e-07   3.133307e-07   6.154078e-07   3.060678e+01 
  3.600000e+02   3.583939e-07  -1.005117e-06   1.067102e-06  -7.037532e+01 
  3.620000e+02  -1.149283e-07  -8.924116e-08   1.455078e-07  -1.421709e+02 
  3.640000e+02   7.747177e-07   7.868652e-07   1.104239e-06   4.544569e+01 
  3.660000e+02   1.027503e-06  -5.019010e-07   1.143532e-06  -2.603397e+01 
  3.680000e+02  -3.509033e-07  -6.332959e-07   7.240143e-07  -1.189904e+02 
  3.700000e+02   2.165660e-07   2.760375e-07   3.508526e-07   5.188393e+01 
  3.720000e+02   1.506439e-06  -2.629918e-07   1.529223e-06  -9.902809e+00 
  3.740000e+02   1.762102e-07  -5.610959e-07   5.881145e-07  -7.256528e+01 
  3.760000e+02  -3.038104e-07   8.948581e-07   9.450247e-07   1.087527e+02 
  3.780000e+02   6.335971e-07   7.778174e-07   1.003217e-06   5.083431e+01 
  3.800000e+02  -4.475327e-07  -5.806950e-07   7.331386e-07  -1.276209e+02 
  3.820000e+02  -1.158878e-06   9.518413e-07   1.499667e-06   1.406021e+02 
  3.840000e+02   4.119834e-07   1.224272e-06   1.291732e-06   7.140124e+01 
  3.860000e+02   5.746986e-07  -1.688948e-06   1.784047e-06  -7.120808e+01 
  3.880000e+02  -1.214170e-06  -1.068309e-06   1.617248e-06  -1.386565e+02 
  3.900000e+02   4.636175e-07   4.110615e-07   6.196069e-07   4.156146e+01 
  3.920000e+02   1.561317e-06  -1.055351e-06   1.884537e-06  -3.405619e+01 
  3.940000e+02  -1.312021e-06  -1.152597e-06   1.746391e-06  -1.387010e+02 
  3.960000e+02   7.466084e-07   3.973791e-06   4.043320e-06   7.935913e+01 
  3.980000e+02   3.614990e-07   4.040101e-06   4.056242e-06   8.488692e+01 
  4.000000e+02  -4.685298e-06  -6.216299e-07   4.726356e-06  -1.724423e+02 
